ranking,playerId,playerName,playerImageUrl,weight,height,backNumber,isRetire,isPlayer,osId,profile,enable,teamId,teamName,teamShortName,teamImageUrl,seasonId,year,upperCategoryId,categoryId,league,division,pitcherEra,pitcherWin,pitcherLose,pitcherSave,pitcherHold,pitcherGameCount,pitcherInning,pitcherKk,pitcherHit,pitcherHr,pitcherR,pitcherEr,pitcherBb,pitcherHp,pitcherWra,pitcherQs,pitcherWhip,pitcherInningKk,pitcherInningBb,pitcherKkBbRate,pitcherPaKkRate,pitcherPaBbRate,pitcherWpa,pitcherWar,pitcherStart,pitcherPitchCount,isQualified,isKoreanPlayer,collect_year,sort_source
1.0,63939,찰리,https://sports-phinf.pstatic.net/player/kbo/default/63939.png,93,190,11,N,Y,,,Y,NC,NC,NC,https://sports-phinf.pstatic.net/team/kbo/default/NC.png?type=f92_88,2013,2013,kbaseball,kbo,,,2.47619,11,7,0,0,29,189,116,175,6,60,52,60,14,0.61111111111,23,1.24,5.52,2.86,1.9300000000000002,14.7,7.6,0.0,0.0,,,True,False,2013,pitcherEra
2.0,60263,이재학,https://sports-phinf.pstatic.net/player/kbo/default/60263.png,84,181,51,N,Y,176151,"{""name"":""이재학"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/3bb18fee-c77d-40c9-9c1d-138029afbf2a.png"",""teamName"":""NC 다이노스"",""teamCode"":""NC"",""position"":""투수"",""backNumber"":""51"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""이재학"",""os"":176151}",Y,NC,NC,NC,https://sports-phinf.pstatic.net/team/kbo/default/NC.png?type=f92_88,2013,2013,kbaseball,kbo,,,2.88462,10,5,1,0,27,156,144,123,12,53,50,59,14,0.66666666666,17,1.17,8.31,3.4,2.44,22.3,9.1,0.0,0.0,,,True,False,2013,pitcherEra
3.0,63810,세든,https://sports-phinf.pstatic.net/player/kbo/default/63810.png,100,193,54,N,Y,132205,"{""name"":""크리스 세든"",""image"":""https://ssl.pstatic.net/sstatic/people/199/201603071057371721.jpg"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구코치"",""야구선수""],""viewName"":""Chris Seddon, Christopher Jon Seddon"",""keyword"":""크리스세든"",""os"":132205}",Y,SK,SK,SK,https://sports-phinf.pstatic.net/team/kbo/default/SK.png?type=f92_88,2013,2013,kbaseball,kbo,,,2.97865,14,6,0,0,30,187 1/3,160,169,14,65,62,73,11,0.7,19,1.29,7.6899999999999995,3.51,2.19,20.5,9.4,0.0,0.0,,,True,False,2013,pitcherEra
4.0,61158,리즈,https://sports-phinf.pstatic.net/player/kbo/default/61158.png,87,185,58,N,Y,,,Y,LG,LG,LG,https://sports-phinf.pstatic.net/team/kbo/default/LG.png?type=f92_88,2013,2013,kbaseball,kbo,,,3.06414,10,13,0,0,32,202 2/3,188,153,11,78,69,88,20,0.43478260869,22,1.19,8.35,3.91,2.14,22.5,10.5,0.0,0.0,,,True,False,2013,pitcherEra
5.0,74454,윤성환,https://sports-phinf.pstatic.net/player/kbo/default/74454.png,88,183,1,N,Y,98789,"{""name"":""윤성환"",""image"":""https://ssl.pstatic.net/sstatic/people/124/202006161928562391.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구선수""],""viewName"":"""",""keyword"":""윤성환"",""os"":98789}",Y,SS,삼성,삼성,https://sports-phinf.pstatic.net/team/kbo/default/SS.png?type=f92_88,2013,2013,kbaseball,kbo,,,3.26953,13,8,0,0,27,170 2/3,122,167,16,69,62,37,4,0.61904761904,17,1.2,6.43,1.95,3.3,17.4,5.3,0.0,0.0,,,True,False,2013,pitcherEra
6.0,77199,옥스프링,https://sports-phinf.pstatic.net/player/kbo/default/77199.png,90,183,32,N,Y,,,Y,LT,롯데,롯데,https://sports-phinf.pstatic.net/team/kbo/default/LT.png?type=f92_88,2013,2013,kbaseball,kbo,,,3.28909,13,7,0,0,30,183 1/3,144,164,10,79,67,69,11,0.65,22,1.27,7.07,3.39,2.09,18.6,8.9,0.0,0.0,,,True,False,2013,pitcherEra
7.0,79229,유희관,https://sports-phinf.pstatic.net/player/kbo/default/79229.png,88,180,29,Y,Y,163788,"{""name"":""유희관"",""image"":""https://ssl.pstatic.net/sstatic/people/portrait/202202/20220221173459582.jpg"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""전 야구선수""],""viewName"":"""",""keyword"":""유희관"",""os"":163788}",Y,OB,두산,두산,https://sports-phinf.pstatic.net/team/kbo/default/OB.png?type=f92_88,2013,2013,kbaseball,kbo,,,3.52982,10,7,1,3,41,145 1/3,96,141,7,60,57,52,7,0.58823529411,7,1.33,5.9399999999999995,3.22,1.85,15.7,8.5,0.0,0.0,,,True,False,2013,pitcherEra
8.0,62597,유먼,https://sports-phinf.pstatic.net/player/kbo/default/62597.png,100,195,42,N,Y,135629,"{""name"":""쉐인 유먼"",""image"":""https://ssl.pstatic.net/sstatic/people/181/201504021412371001.jpg"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구선수""],""viewName"":""Shane Youman, Shane Demond Youman"",""keyword"":""쉐인유먼"",""os"":135629}",Y,LT,롯데,롯데,https://sports-phinf.pstatic.net/team/kbo/default/LT.png?type=f92_88,2013,2013,kbaseball,kbo,,,3.53793,13,4,0,0,31,193 1/3,141,186,19,81,76,78,5,0.76470588235,24,1.37,6.5600000000000005,3.63,1.81,17.0,9.4,0.0,0.0,,,True,False,2013,pitcherEra
9.0,63938,해커,https://sports-phinf.pstatic.net/player/kbo/default/63938.png,104,185,0,N,Y,552698,"{""name"":""에릭 해커"",""image"":""https://ssl.pstatic.net/sstatic/people/181/201807031732428091.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구선수""],""viewName"":""Eric Lynn Hacker"",""keyword"":""에릭해커"",""os"":552698}",Y,NC,NC,NC,https://sports-phinf.pstatic.net/team/kbo/default/NC.png?type=f92_88,2013,2013,kbaseball,kbo,,,3.63364,4,11,0,0,27,178 1/3,127,163,12,83,72,50,17,0.26666666666,16,1.19,6.41,2.52,2.54,17.1,6.7,0.0,0.0,,,True,False,2013,pitcherEra
10.0,62322,밴헤켄,https://sports-phinf.pstatic.net/player/kbo/default/62322.png,90,193,22,N,Y,285367,"{""name"":""앤디 밴 헤켄"",""image"":""https://ssl.pstatic.net/sstatic/people/139/20170621141247231.png"",""teamName"":""퉁이 라이온스"",""teamCode"":"""",""position"":""투수"",""backNumber"":""36"",""retire"":null,""job"":[""야구선수""],""viewName"":""Andy Van Hekken"",""keyword"":""앤디밴헤켄"",""os"":285367}",Y,WO,넥센,넥센,https://sports-phinf.pstatic.net/team/kbo/default/WO.png?type=f92_88,2013,2013,kbaseball,kbo,,,3.7299,12,10,0,0,29,161 2/3,137,178,11,78,67,58,10,0.54545454545,16,1.46,7.63,3.23,2.36,19.4,8.2,0.0,0.0,,,True,False,2013,pitcherEra
11.0,77591,송승준,https://sports-phinf.pstatic.net/player/kbo/default/77591.png,106,184,21,Y,Y,100809,"{""name"":""송승준"",""image"":""https://ssl.pstatic.net/sstatic/people/36/202103302005208691.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""전 야구선수""],""viewName"":"""",""keyword"":""송승준"",""os"":100809}",Y,LT,롯데,롯데,https://sports-phinf.pstatic.net/team/kbo/default/LT.png?type=f92_88,2013,2013,kbaseball,kbo,,,3.75746,12,6,0,0,29,167 2/3,133,171,11,74,70,64,4,0.66666666666,13,1.4,7.14,3.44,2.08,18.5,8.9,0.0,0.0,,,True,False,2013,pitcherEra
12.0,73211,노경은,https://sports-phinf.pstatic.net/player/kbo/default/73211.png,100,187,38,N,Y,96567,"{""name"":""노경은"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/99b4adc7-55c2-4751-821d-790c596a86c9.png"",""teamName"":""SSG 랜더스"",""teamCode"":""SK"",""position"":""투수"",""backNumber"":""38"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""노경은"",""os"":96567}",Y,OB,두산,두산,https://sports-phinf.pstatic.net/team/kbo/default/OB.png?type=f92_88,2013,2013,kbaseball,kbo,,,3.84288,10,10,0,0,30,180 1/3,153,171,16,88,77,75,6,0.5,18,1.3599999999999999,7.64,3.74,2.04,20.0,9.8,0.0,0.0,,,True,False,2013,pitcherEra
