player_name,fa_year,age_at_fa,position,contract_years,total_contract_amount,annual_avg_salary,team
이용찬,2021,,P,4,27,6.75,NC
유희관,2021,,P,1,10,10,두산
차우찬,2021,,P,2,20,10,LG
이대호,2021,,1B,2,26,13,롯데
김상수,2021,,P,3,15.5,5.17,SK
김재호,2021,,SS,3,25,8.33,두산
우규민,2021,,P,2,10,5,삼성
이원석,2021,,3B,3,20,6.67,삼성
정수빈,2021,,OF,6,56,9.33,두산
최형우,2021,,OF,3,47,15.67,KIA
오재일,2021,,1B,4,50,12.5,삼성
최주환,2021,,2B,4,42,10.5,SK
허경민,2021,,3B,7,85,12.14,두산
김용의,2021,,OF,1,2,2,LG
김성현,2021,,IF,3,11,3.67,SK
최재훈,2022,,C,5,54,10.8,한화
장성우,2022,,C,4,42,10.5,KT
허도환,2022,,C,2,4,2,LG
황재균,2022,,3B,4,60,15,KT
김재환,2022,,OF,4,115,28.75,두산
박건우,2022,,OF,6,100,16.67,NC
백정현,2022,,P,4,38,9.5,삼성
강민호,2022,,C,4,36,9,삼성
박해민,2022,,OF,4,60,15,LG
김현수,2022,,OF,6,115,19.17,LG
박병호,2022,,1B,3,30,10,KT
나성범,2022,,OF,6,150,25,KIA
정훈,2022,,1B,3,18,6,롯데
손아섭,2022,,OF,4,64,16,NC
원종현,2023,,P,4,25,6.25,키움
유강남,2023,,C,4,80,20,롯데
박동원,2023,,C,4,65,16.25,LG
장시환,2023,,P,3,9.3,3.1,한화
채은성,2023,,1B,6,90,15,한화
양의지,2023,,C,6,152,25.33,두산
노진혁,2023,,SS,4,50,12.5,롯데
이태양,2023,,P,4,25,6.25,한화
박민우,2023,,2B,8,140,17.5,NC
박세혁,2023,,C,4,46,11.5,NC
김상수,2023,,SS,4,29,7.25,KT
오태곤,2023,,OF,4,19,4.75,SSG
오선진,2023,,IF,2,4,2,한화
김진성,2023,,P,2,7,3.5,LG
이재학,2023,,P,3,9,3,NC
신본기,2023,,IF,2,3,1.5,KT
한현희,2023,,P,4,40,10,롯데
이명기,2023,,OF,1,1,1,한화
오지환,2024,,SS,6,124,20.67,LG
김선빈,2024,,2B,3,30,10,KIA
오승환,2024,,P,2,22,11,삼성
임찬규,2024,,P,4,50,12.5,LG
함덕주,2024,,P,4,38,9.5,LG
양석환,2024,,1B,6,78,13,두산
홍건희,2024,,P,4,24.5,6.13,두산
주권,2024,,P,4,16,4,KT
고종욱,2024,,OF,2,5,2.5,KIA
장민재,2024,,P,3,8,2.67,한화
임창민,2024,,P,2,8,4,삼성
김대우,2024,,P,2,4,2,삼성
강한울,2024,,IF,2,3,1.5,삼성
김민식,2024,,C,2,5,2.5,SSG
최정,2025,,3B,4,110,27.5,SSG
허경민,2025,,3B,4,40,10,KT
엄상백,2025,,P,4,78,19.5,한화
심우준,2025,,SS,4,50,12.5,한화
김원중,2025,,P,4,54,13.5,롯데
최원태,2025,,P,4,70,17.5,삼성
장현식,2025,,P,4,52,13,LG
구승민,2025,,P,4,21,5.25,롯데
우규민,2025,,P,2,7,3.5,KT
류지혁,2025,,IF,4,26,6.5,삼성
임기영,2025,,P,3,15,5,KIA
노경은,2025,,P,3,25,8.33,SSG
서건창,2025,,2B,2,5,2.5,KIA
김강률,2025,,P,4,14,3.5,LG
김성욱,2025,,OF,2,3,1.5,NC
김헌곤,2025,,OF,2,6,3,삼성
박찬호,2026,,SS,4,80,20,두산
강백호,2026,,1B,4,100,25,한화
김현수,2026,,OF,3,50,16.67,KT
최원준,2026,,P,4,48,12,KT
이영하,2026,,P,4,52,13,두산
양현종,2026,,P,3,45,15,KIA
김광현,2026,,P,2,36,18,SSG
강민호,2026,,C,2,20,10,삼성
이준영,2026,,P,3,12,4,KIA
한승택,2026,,C,4,10,2.5,KT
조수행,2026,,OF,4,16,4,두산
최형우,2026,,OF,2,26,13,KIA
