player_name,fa_year,age_at_fa,position,contract_years,total_contract_amount,annual_avg_salary,team,birth_year
민병헌,2018,31,OF,4,80.0,20.0,롯데,1987
황재균,2018,31,3B,4,88.0,22.0,KT,1987
김현수,2018,30,OF,4,115.0,28.75,LG,1988
정근우,2018,36,2B,3,35.0,11.67,한화,1982
안영명,2018,34,P,2,12.0,6.0,한화,1984
박정진,2018,42,P,2,7.5,3.75,한화,1976
손아섭,2018,32,OF,4,98.0,24.5,롯데,1986
강민호,2018,33,C,4,80.0,20.0,삼성,1985
최준석,2018,35,1B,1,0.55,0.55,NC,1983
문규현,2018,35,SS,3,10.0,3.33,롯데,1983
김주찬,2018,37,OF,3,27.0,9.0,KIA,1981
이대형,2018,35,OF,2,4.0,2.0,KT,1983
이종욱,2018,38,OF,1,5.0,5.0,NC,1980
지석훈,2018,34,OF,2,6.0,3.0,NC,1984
손시헌,2018,38,SS,2,15.0,7.5,NC,1980
정의윤,2018,32,OF,4,29.0,7.25,SK,1986
채태인,2018,36,1B,2,10.0,5.0,롯데,1982
김승회,2018,37,P,2,3.0,1.5,두산,1981
권오준,2018,38,P,2,6.0,3.0,삼성,1980
김상수,2019,29,SS,3,18.0,6.0,삼성,1990
김민성,2019,31,IF,3,18.0,6.0,LG,1988
최진행,2019,34,OF,2,5.0,2.5,한화,1985
이용규,2019,34,OF,3,26.0,8.67,한화,1985
송광민,2019,36,IF,2,16.0,8.0,한화,1983
윤성환,2019,38,P,1,10.0,10.0,삼성,1981
모창민,2019,34,IF,3,20.0,6.67,NC,1985
이보근,2019,33,P,4,19.0,4.75,키움,1986
박경수,2019,35,IF,3,26.0,8.67,KT,1984
박용택,2019,42,OF,2,25.0,12.5,LG,1979
최정,2019,32,3B,6,106.0,17.67,SK,1987
이재원,2019,31,C,4,69.0,17.25,SK,1988
양의지,2019,32,C,4,125.0,31.25,NC,1987
금민철,2019,33,P,2,7.0,3.5,KT,1986
안치홍,2020,30,2B,4,56.0,14.0,롯데,1990
이성열,2020,36,OF,2,14.0,7.0,한화,1984
김태균,2020,38,1B,1,10.0,10.0,한화,1982
정우람,2020,37,P,4,39.0,9.75,한화,1983
윤규진,2020,36,P,2,5.0,2.5,한화,1984
전준우,2020,33,OF,4,34.0,8.5,롯데,1987
고효준,2020,37,P,1,1.2,1.2,롯데,1983
