player_name,player_id,fa_year,age_at_fa,position,contract_years,total_contract_amount,annual_avg_salary,team,birth_year,birth_year_source
민병헌,76249,2018,31,OF,4,80.0,20.0,롯데,1987,원본
황재균,76313,2018,31,3B,4,88.0,22.0,KT,1987,원본
김현수,76290,2018,30,OF,4,115.0,28.75,LG,1988,원본
정근우,75808,2018,36,2B,3,35.0,11.67,한화,1982,원본
안영명,73738,2018,34,P,2,12.0,6.0,한화,1984,원본
박정진,99737,2018,42,P,2,7.5,3.75,한화,1976,원본
손아섭,77532,2018,32,OF,4,98.0,24.5,롯데,1986,원본
강민호,74540,2018,33,C,4,80.0,20.0,삼성,1985,원본
최준석,71552,2018,35,1B,1,0.55,0.55,NC,1983,원본
문규현,72546,2018,35,SS,3,10.0,3.33,롯데,1983,원본
김주찬,70410,2018,37,OF,3,27.0,9.0,KIA,1981,원본
이대형,73153,2018,35,OF,2,4.0,2.0,KT,1983,원본
이종욱,73339,2018,38,OF,1,5.0,5.0,NC,1980,원본
지석훈,73306,2018,34,OF,2,6.0,3.0,NC,1984,원본
손시헌,73213,2018,38,SS,2,15.0,7.5,NC,1980,원본
정의윤,75151,2018,32,OF,4,29.0,7.25,SK,1986,원본
채태인,77463,2018,36,1B,2,10.0,5.0,롯데,1982,원본
김승회,73248,2018,37,P,2,3.0,1.5,두산,1981,원본
권오준,99445,2018,38,P,2,6.0,3.0,삼성,1980,원본
김상수,79402,2019,29,SS,3,18.0,6.0,삼성,1990,원본
김민성,77564,2019,31,IF,3,18.0,6.0,LG,1988,원본
최진행,74729,2019,34,OF,2,5.0,2.5,한화,1985,원본
이용규,74163,2019,34,OF,3,26.0,8.67,한화,1985,원본
송광민,76753,2019,36,IF,2,16.0,8.0,한화,1983,원본
윤성환,74454,2019,38,P,1,10.0,10.0,삼성,1981,원본
모창민,78813,2019,34,IF,3,20.0,6.67,NC,1985,원본
이보근,75342,2019,33,P,4,19.0,4.75,키움,1986,원본
박경수,73113,2019,35,IF,3,26.0,8.67,KT,1984,원본
박용택,72133,2019,42,OF,2,25.0,12.5,LG,1979,원본
최정,75847,2019,32,3B,6,106.0,17.67,SK,1987,원본
이재원,76812,2019,31,C,4,69.0,17.25,SK,1988,원본
양의지,76232,2019,32,C,4,125.0,31.25,NC,1987,원본
금민철,75258,2019,33,P,2,7.0,3.5,KT,1986,원본
안치홍,79608,2020,30,2B,4,56.0,14.0,롯데,1990,원본
이성열,73136,2020,36,OF,2,14.0,7.0,한화,1984,원본
김태균,71752,2020,38,1B,1,10.0,10.0,한화,1982,원본
정우람,74857,2020,35,P,4,39.0,9.75,한화,1985,wikidata
윤규진,73750,2020,36,P,2,5.0,2.5,한화,1984,원본
전준우,78513,2020,34,OF,4,34.0,8.5,롯데,1986,wikidata
고효준,72523,2020,37,P,1,1.2,1.2,롯데,1983,원본
김선빈,78603,2020,31,2B,4,40.0,10.0,KIA,1989,원본
유한준,74339,2020,39,OF,2,20.0,10.0,KT,1981,원본
김강민,71837,2020,38,OF,2,10.0,5.0,SK,1982,원본
김태군,78122,2020,31,C,4,13.0,3.25,NC,1989,원본
오지환,79109,2020,30,SS,4,40.0,10.0,LG,1990,원본
송은범,73801,2020,36,P,2,10.0,5.0,LG,1984,원본
진해수,76650,2020,34,P,3,14.0,4.67,LG,1986,원본
이지영,79456,2020,34,C,3,18.0,6.0,키움,1986,원본
오주원,74359,2020,35,P,2,7.0,3.5,키움,1985,원본
오재원,77248,2020,35,2B,3,19.0,6.33,두산,1985,원본
박석민,74465,2020,35,3B,3,34.0,11.33,NC,1985,원본
김성현,76802,2021,34,IF,3,11.0,3.67,SK,1987,wikidata
김용의,78217,2021,36,OF,1,2.0,2.0,LG,1985,wikidata
허경민,79240,2021,31,3B,7,85.0,12.14,두산,1990,wikidata
최주환,76267,2021,33,2B,4,42.0,10.5,SK,1988,wikidata
오재일,75334,2021,35,1B,4,50.0,12.5,삼성,1986,wikidata
최형우,72443,2021,38,OF,3,47.0,15.67,KIA,1983,원본
정수빈,79231,2021,31,OF,6,56.0,9.33,두산,1990,wikidata
우규민,73117,2021,36,P,2,10.0,5.0,삼성,1985,wikidata
김재호,74206,2021,36,SS,3,25.0,8.33,두산,1985,wikidata
김상수,,2021,32,P,3,15.5,5.17,SK,1989,원본
이대호,71564,2021,39,1B,2,26.0,13.0,롯데,1982,원본
차우찬,76455,2021,34,P,2,20.0,10.0,LG,1987,wikidata
유희관,79229,2021,35,P,1,10.0,10.0,두산,1986,wikidata
이용찬,77211,2021,32,P,4,27.0,6.75,NC,1989,wikidata
이원석,75566,2021,35,3B,3,20.0,6.67,삼성,1986,wikidata
박해민,62415,2022,32,OF,4,60.0,15.0,LG,1990,원본
손아섭,77532,2022,36,OF,4,64.0,16.0,NC,1986,원본
정훈,60523,2022,37,1B,3,18.0,6.0,롯데,1985,원본
나성범,62947,2022,33,OF,6,150.0,25.0,KIA,1989,원본
박병호,75125,2022,36,1B,3,30.0,10.0,KT,1986,원본
김현수,76290,2022,34,OF,6,115.0,19.17,LG,1988,원본
강민호,74540,2022,37,C,4,36.0,9.0,삼성,1985,원본
황재균,76313,2022,35,3B,4,60.0,15.0,KT,1987,원본
박건우,79215,2022,32,OF,6,100.0,16.67,NC,1990,wikidata
김재환,78224,2022,34,OF,4,115.0,28.75,두산,1988,원본
허도환,77243,2022,38,C,2,4.0,2.0,LG,1984,wikidata
장성우,78548,2022,32,C,4,42.0,10.5,KT,1990,wikidata
