player_id,player_name,player_type,position,team_latest,first_year,season_count,fa_year_expected,basis
63123,강승호,hitter,내야수,두산,2016,10,2027,데뷔 2016 · 1군 10시즌
62925,강진성,hitter,야수,키움,2013,10,2027,데뷔 2013 · 1군 10시즌
64001,고영표,pitcher,투수,KT,2015,10,2027,데뷔 2015 · 1군 10시즌
68220,곽빈,pitcher,투수,두산,2018,7,2027,데뷔 2018 · 1군 7시즌
65933,구창모,pitcher,투수,NC,2016,9,2027,데뷔 2016 · 1군 9시즌
76225,김건국,pitcher,투수,KIA,2018,8,2027,데뷔 2018 · 1군 8시즌
66112,김기연,hitter,포수,두산,2018,6,2027,데뷔 2018 · 1군 6시즌
60337,김대유,pitcher,투수,KIA,2014,9,2027,데뷔 2014 · 1군 9시즌
66145,김대현,pitcher,투수,LG,2016,9,2027,데뷔 2016 · 1군 9시즌
66838,김동엽,hitter,야수,키움,2016,10,2027,데뷔 2016 · 1군 10시즌
67246,김명신,pitcher,투수,두산,2017,8,2027,데뷔 2017 · 1군 8시즌
68043,김민,pitcher,투수,SSG,2018,8,2027,데뷔 2018 · 1군 8시즌
68200,김민규,pitcher,투수,두산,2018,7,2027,데뷔 2018 · 1군 7시즌
64793,김민수,hitter,포수,LG,2014,9,2027,데뷔 2014 · 1군 9시즌
65269,김민혁,hitter,내야수,두산,2017,7,2027,데뷔 2017 · 1군 7시즌
65769,김범수,pitcher,투수,KIA,2015,12,2027,데뷔 2015 · 1군 12시즌
67610,김석환,hitter,외야수,KIA,2018,5,2027,데뷔 2018 · 1군 5시즌
66018,김선기,pitcher,투수,키움,2018,9,2027,데뷔 2018 · 1군 9시즌
67828,김성민,pitcher,투수,키움,2017,8,2027,데뷔 2017 · 1군 8시즌
67449,김성윤,hitter,외야수,삼성,2017,9,2027,데뷔 2017 · 1군 9시즌
65898,김웅빈,hitter,내야수,키움,2016,10,2027,데뷔 2016 · 1군 10시즌
64596,김유영,pitcher,투수,LG,2014,9,2027,데뷔 2014 · 1군 9시즌
63257,김인태,hitter,외야수,두산,2016,11,2027,데뷔 2016 · 1군 11시즌
66715,김인환,hitter,야수,한화,2018,6,2027,데뷔 2018 · 1군 6시즌
65132,김재성,hitter,포수,삼성,2015,7,2027,데뷔 2015 · 1군 7시즌
65062,김재윤,pitcher,투수,삼성,2015,12,2027,데뷔 2015 · 1군 12시즌
62332,김재현,hitter,포수,키움,2015,11,2027,데뷔 2015 · 1군 11시즌
67504,김정율,hitter,내야수,LG,2017,8,2027,데뷔 2017 · 1군 8시즌
63765,김종수,pitcher,투수,한화,2018,7,2027,데뷔 2018 · 1군 7시즌
66162,김주성,hitter,내야수,LG,2017,6,2027,데뷔 2017 · 1군 6시즌
62558,김준태,hitter,포수,LG,2013,10,2027,데뷔 2013 · 1군 10시즌
66917,김찬형,hitter,야수,SSG,2017,8,2027,데뷔 2017 · 1군 8시즌
66704,김태연,hitter,외야수,한화,2017,9,2027,데뷔 2017 · 1군 9시즌
64984,김태진,hitter,내야수,키움,2015,11,2027,데뷔 2015 · 1군 11시즌
76430,김태혁,pitcher,투수,롯데,2013,12,2027,데뷔 2013 · 1군 12시즌
62360,김태훈,pitcher,투수,삼성,2014,11,2027,데뷔 2014 · 1군 11시즌
65040,김태훈,hitter,외야수,삼성,2015,8,2027,데뷔 2015 · 1군 8시즌
65343,김택형,pitcher,투수,SSG,2015,10,2027,데뷔 2015 · 1군 10시즌
66965,도태훈,hitter,내야수,NC,2016,10,2027,데뷔 2016 · 1군 10시즌
67025,로하스,hitter,외야수,KT,2017,6,2027,데뷔 2017 · 1군 6시즌
68119,문성주,hitter,외야수,LG,2018,7,2027,데뷔 2018 · 1군 7시즌
64468,박계범,hitter,내야수,삼성,2015,10,2027,데뷔 2015 · 1군 10시즌
67893,박성한,hitter,내야수,SSG,2017,9,2027,데뷔 2017 · 1군 9시즌
64021,박세웅,pitcher,투수,롯데,2015,12,2027,데뷔 2015 · 1군 12시즌
66047,박세진,pitcher,투수,롯데,2016,7,2027,데뷔 2016 · 1군 7시즌
60559,박시영,pitcher,투수,롯데,2016,9,2027,데뷔 2016 · 1군 9시즌
68249,박신지,pitcher,투수,두산,2018,8,2027,데뷔 2018 · 1군 8시즌
65639,박정수,pitcher,투수,두산,2015,10,2027,데뷔 2015 · 1군 10시즌
