collect_year,player_id,player_name,team,position,is_qualified,games,ab,avg,obp,slg,ops,isop,babip,woba,wrc_plus,hr,rbi,run,hit,h2,h3,bb,hbp,so,sb,wpa,war,season_completion
2010,92501,가득염,SK,,False,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,1.0
2010,78595,가르시아,롯데,,True,118,429,0.2517482517482518,0.328,0.476,0.804,0.2239999999999999,0.288,0.354,0.0,26,83,73,108,16,1,49,2,123,3,0.0,,1.0
2011,78595,가르시아,한화,,False,72,268,0.2462686567164179,0.308,0.493,0.801,0.247,0.246,0.346,0.0,18,61,37,66,12,0,24,0,55,1,0.0,,1.0
2018,68103,가르시아,LG,,False,50,183,0.3387978142076502,0.383,0.519,0.902,0.18,0.346,0.387,152.5,8,34,27,62,9,0,9,8,25,5,-0.226,1.53,1.0
2022,52125,가르시아,LG,,False,39,136,0.2058823529411764,0.308,0.353,0.661,0.147,0.261,0.31,97.8,4,19,21,28,6,1,19,1,40,4,-1.143,0.43,1.0
2011,61435,가코,삼성,,False,58,189,0.2433862433862433,0.332,0.302,0.634,0.059,0.285,0.303,0.0,1,28,21,46,8,0,22,5,34,0,0.0,,1.0
2024,53006,강건,KT,투수,False,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
2011,61700,강경학,한화,,False,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,,1.0
2014,61700,강경학,한화,,False,41,86,0.2209302325581395,0.337,0.349,0.686,0.1279999999999999,0.316,0.316,0.0,1,7,11,19,2,3,13,2,28,0,-0.218,,1.0
2015,61700,강경학,한화,,False,120,311,0.2572347266881029,0.348,0.325,0.673,0.068,0.307,0.306,0.0,2,27,50,80,7,4,40,5,58,4,-1.325,,1.0
2016,61700,강경학,한화,,False,46,101,0.1584158415841584,0.232,0.257,0.489,0.099,0.211,0.216,0.0,1,7,16,16,3,2,8,2,30,0,-1.162,,1.0
2017,61700,강경학,한화,,False,59,84,0.2142857142857142,0.29,0.262,0.552,0.048,0.277,0.278,51.1,0,4,17,18,2,1,8,1,19,1,-0.892,-0.23,1.0
2018,61700,강경학,한화,,False,77,245,0.2775510204081632,0.382,0.392,0.774,0.1139999999999999,0.346,0.357,92.7,5,27,42,68,11,1,38,4,59,6,-0.14,1.43,1.0
2019,61700,강경학,한화,,False,52,113,0.2389380530973451,0.341,0.274,0.615,0.035,0.329,0.3,80.0,0,12,21,27,4,0,15,3,32,1,-0.56,0.38,1.0
2020,61700,강경학,한화,,False,94,193,0.2279792746113989,0.352,0.337,0.689,0.109,0.315,0.339,100.7,4,19,25,44,7,1,35,3,64,1,-0.076,1.06,1.0
2021,61700,강경학,KIA,,False,25,33,0.1515151515151515,0.282,0.152,0.434,0.0,0.25,0.227,28.5,0,1,3,5,0,0,5,1,13,1,-0.464,-0.27,1.0
2013,62917,강구성,NC,,False,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,1.0
2015,62917,강구성,NC,,False,4,5,0.2,0.2,0.4,0.6,0.2,0.2,0.432,0.0,0,0,0,1,1,0,0,0,0,0,0.16,,1.0
2016,62917,강구성,NC,,False,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,-0.003,,1.0
2017,62917,강구성,NC,,False,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117.9,0,0,0,0,0,0,0,0,1,0,-0.012,-0.03,1.0
2018,62917,강구성,NC,,False,4,5,0.2,0.2,0.4,0.6,0.2,0.5,0.248,38.0,0,1,0,1,1,0,0,0,3,0,-0.108,-0.03,1.0
2010,72312,강귀태,넥센,,False,97,269,0.2304832713754646,0.278,0.297,0.575,0.0669999999999999,0.248,0.262,0.0,3,34,24,62,9,0,17,2,31,0,0.0,,1.0
2011,72312,강귀태,넥센,,False,33,81,0.2345679012345679,0.276,0.346,0.622,0.1109999999999999,0.257,0.272,0.0,1,10,4,19,4,1,5,0,11,1,0.0,,1.0
2012,72312,강귀태,넥센,,False,12,19,0.2105263157894736,0.25,0.211,0.461,0.0,0.267,0.207,0.0,0,1,2,4,0,0,0,1,4,0,0.0,,1.0
2016,61295,강동연,두산,,False,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,1.0
2020,61295,강동연,NC,,False,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
