collect_year,playerId,playerName,teamName,isRetire,isPlayer,isQualified,hitterGameCount,hitterAb,hitterHra,hitterObp,hitterSlg,hitterOps,hitterIsop,hitterBabip,hitterWoba,hitterWrcPlus,hitterHr,hitterRbi,hitterRun,hitterHit,hitterH2,hitterH3,hitterBb,hitterHp,hitterKk,hitterSb,hitterCs,hitterGd,hitterWpa,hitterWar,sort_source
2015,61700,강경학,한화,N,Y,False,120,311,0.2572347266881029,0.348,0.325,0.673,0.068,0.307,0.306,0.0,2,27,50,80,7,4,40,5,58,4,,,-1.325,0.0,hitterWar
2015,74215,윤석민,넥센,Y,Y,False,108,361,0.2936288088642659,0.366,0.482,0.848,0.188,0.315,0.375,0.0,14,71,54,106,24,1,37,8,62,3,,,1.041,0.0,hitterHr
2015,75334,오재일,두산,Y,Y,False,66,180,0.2888888888888888,0.387,0.594,0.981,0.305,0.319,0.421,0.0,14,36,33,52,11,1,28,2,49,0,,,1.164,0.0,hitterHr
2015,79365,박동원,넥센,N,Y,False,127,379,0.2664907651715039,0.339,0.414,0.753,0.1479999999999999,0.311,0.335,0.0,14,61,47,101,12,1,37,9,93,0,,,0.055,0.0,hitterHr
2015,79705,김회성,한화,Y,Y,False,83,225,0.2088888888888889,0.321,0.484,0.805,0.275,0.203,0.341,0.0,16,35,36,47,10,2,28,10,58,2,,,-1.434,0.0,hitterHr
2015,75847,최정,SK,N,Y,False,81,275,0.2945454545454545,0.401,0.542,0.943,0.247,0.35,0.402,0.0,17,58,43,81,17,0,46,5,78,5,,,0.829,0.0,hitterHr
2015,74729,최진행,한화,Y,Y,False,109,333,0.2912912912912913,0.41,0.505,0.915,0.214,0.364,0.406,0.0,18,64,55,97,17,0,65,4,101,0,,,1.76,0.0,hitterHr
2015,70410,김주찬,KIA,Y,Y,False,98,333,0.3273273273273273,0.383,0.571,0.954,0.2439999999999999,0.343,0.405,0.0,18,62,66,109,23,2,23,12,58,8,,,0.942,0.0,hitterHr
2015,78122,김태군,NC,N,Y,True,144,421,0.2541567695961995,0.307,0.354,0.661,0.0999999999999999,0.293,0.297,0.0,6,52,45,107,24,0,25,10,77,1,,,-1.99,0.0,hitterWrcPlus
2015,73306,지석훈,NC,Y,Y,True,137,415,0.2674698795180723,0.328,0.383,0.711,0.1159999999999999,0.311,0.317,0.0,11,46,53,111,15,0,23,16,85,4,,,0.079,0.0,hitterOps
2015,73213,손시헌,NC,N,Y,True,140,440,0.2454545454545454,0.319,0.398,0.717,0.153,0.26,0.318,0.0,13,58,56,108,24,2,36,14,66,3,,,-1.057,0.0,hitterOps
2015,73339,이종욱,NC,Y,Y,True,125,440,0.2681818181818182,0.35,0.368,0.718,0.0999999999999999,0.314,0.321,0.0,5,52,63,118,25,2,54,3,78,17,,,0.806,0.0,hitterOps
2015,62415,박해민,삼성,N,Y,True,144,525,0.2933333333333333,0.362,0.362,0.724,0.069,0.384,0.322,0.0,0,47,96,154,22,7,56,2,126,60,,,0.848,0.0,hitterOps
2015,73153,이대형,KT,Y,Y,True,140,546,0.3021978021978022,0.37,0.355,0.725,0.0529999999999999,0.363,0.335,0.0,0,37,86,165,23,3,53,6,92,44,,,1.125,0.0,hitterOps
2015,79231,정수빈,두산,N,Y,True,128,491,0.2953156822810591,0.361,0.391,0.752,0.096,0.336,0.333,0.0,2,59,79,145,27,7,43,11,70,15,,,-0.263,0.0,hitterOps
2015,79240,허경민,두산,N,Y,True,117,404,0.3168316831683168,0.373,0.384,0.757,0.067,0.349,0.342,0.0,1,41,64,128,20,2,31,7,42,8,,,-0.202,0.0,hitterOps
2015,77454,김종호,NC,Y,Y,True,133,424,0.294811320754717,0.364,0.394,0.758,0.099,0.338,0.345,0.0,4,36,90,125,16,7,44,4,65,41,,,0.045,0.0,hitterOps
2015,76849,이명기,SK,Y,Y,True,137,521,0.3147792706333973,0.368,0.397,0.765,0.082,0.369,0.352,0.0,3,35,88,164,30,2,35,11,86,22,,,-0.809,0.0,hitterOps
2015,76313,황재균,롯데,Y,Y,True,144,534,0.2902621722846442,0.35,0.521,0.871,0.231,0.329,0.376,0.0,26,97,95,155,41,2,48,4,122,11,,,-0.139,0.0,hitterOps
2015,75808,정근우,한화,Y,Y,True,126,468,0.3162393162393162,0.403,0.466,0.869,0.15,0.347,0.383,0.0,12,66,99,148,30,2,61,8,66,21,,,3.085,0.0,hitterOps
2015,65823,브라운,SK,N,Y,True,137,464,0.2607758620689655,0.36,0.496,0.856,0.235,0.299,0.376,0.0,28,76,82,121,21,2,66,7,127,5,,,2.081,0.0,hitterOps
2015,64300,김하성,넥센,N,Y,True,140,511,0.2896281800391389,0.362,0.489,0.851,0.199,0.337,0.37,0.0,19,73,89,148,35,5,56,5,115,22,,,-0.434,0.0,hitterOps
2015,74163,이용규,한화,N,Y,True,124,493,0.3407707910750507,0.427,0.424,0.851,0.0829999999999999,0.366,0.389,0.0,4,42,94,168,15,7,68,9,45,28,,,1.906,0.0,hitterOps
2015,74846,박정권,SK,Y,Y,True,124,438,0.2808219178082192,0.353,0.477,0.83,0.1959999999999999,0.34,0.359,0.0,21,70,66,123,23,0,46,4,119,3,,,-1.388,0.0,hitterOps
2015,65052,댄블랙,KT,N,Y,False,54,198,0.3333333333333333,0.413,0.576,0.989,0.2429999999999999,0.403,0.426,0.0,12,32,25,66,10,1,25,2,52,0,,,1.727,0.0,hitterHr
2015,62907,박민우,NC,N,Y,True,141,520,0.3038461538461538,0.399,0.404,0.803,0.1,0.373,0.369,0.0,3,47,111,158,31,6,73,14,108,46,,,1.497,0.0,hitterOps
2015,79109,오지환,LG,N,Y,True,138,497,0.2776659959758551,0.357,0.443,0.8,0.1649999999999999,0.345,0.359,0.0,11,56,76,138,41,4,59,4,121,25,,,1.495,0.0,hitterOps
2015,76249,민병헌,두산,Y,Y,True,129,491,0.3034623217922607,0.373,0.426,0.799,0.123,0.333,0.354,0.0,12,75,80,149,20,2,50,8,74,7,,,1.6720000000000002,0.0,hitterOps
2015,76812,이재원,SK,N,Y,True,140,489,0.2822085889570552,0.363,0.427,0.79,0.145,0.309,0.354,0.0,17,100,58,138,18,1,54,11,85,1,,,0.075,0.0,hitterOps
2015,74206,김재호,두산,Y,Y,True,133,410,0.3073170731707317,0.386,0.402,0.788,0.095,0.331,0.346,0.0,3,50,63,126,24,3,54,3,42,7,,,-0.737,0.0,hitterOps
2015,77248,오재원,두산,Y,Y,True,120,411,0.2798053527980535,0.356,0.418,0.774,0.1379999999999999,0.335,0.352,0.0,11,59,60,115,20,2,47,4,94,31,,,-0.043,0.0,hitterOps
2015,78548,장성우,KT,N,Y,True,133,433,0.2840646651270208,0.346,0.425,0.771,0.141,0.32,0.345,0.0,13,77,55,123,20,1,46,0,85,1,,,1.735,0.0,hitterOps
2015,60523,정훈,롯데,Y,Y,True,135,486,0.3004115226337449,0.382,0.42,0.802,0.12,0.362,0.357,0.0,9,62,85,146,27,2,52,14,102,16,,,-1.338,0.0,hitterOps
2015,72133,박용택,LG,Y,Y,True,128,487,0.3264887063655031,0.37,0.503,0.873,0.177,0.35,0.382,0.0,18,83,66,159,28,2,34,4,73,11,,,1.027,0.0,hitterOps
2015,65233,로메로,두산,N,Y,False,76,265,0.2528301886792453,0.328,0.449,0.777,0.196,0.259,0.343,0.0,12,50,30,67,16,0,29,4,48,2,,,-1.585,0.0,hitterHr
2015,63634,이홍구,KIA,N,Y,False,112,222,0.2162162162162162,0.278,0.432,0.71,0.216,0.247,0.298,0.0,12,39,25,48,10,1,12,7,64,1,,,-0.298,0.0,hitterHr
2015,99810,이진영,LG,Y,Y,False,103,301,0.2558139534883721,0.351,0.369,0.72,0.1129999999999999,0.285,0.323,0.0,9,39,32,77,5,1,42,3,55,2,,,-0.006,0.0,hitterBb
2015,78629,나지완,KIA,Y,Y,False,116,304,0.2532894736842105,0.378,0.375,0.753,0.122,0.318,0.348,0.0,7,31,34,77,16,0,46,16,79,3,,,-1.383,0.0,hitterBb
2015,64944,박대온,NC,Y,Y,False,33,21,0.2857142857142857,0.273,0.333,0.606,0.047,0.375,0.303,0.0,0,3,2,6,1,0,0,0,6,0,,,0.554,0.0,hitterWpa
2015,78643,백용환,KIA,Y,Y,False,65,154,0.2337662337662337,0.316,0.468,0.784,0.234,0.26,0.335,0.0,10,30,22,36,6,0,19,1,47,3,,,0.704,0.0,hitterWpa
2015,62164,서상우,LG,N,Y,False,58,159,0.3396226415094339,0.386,0.503,0.889,0.1629999999999999,0.393,0.393,0.0,6,22,29,54,8,0,9,3,31,5,,,0.737,0.0,hitterWpa
2015,77463,채태인,삼성,Y,Y,False,104,333,0.3483483483483483,0.408,0.477,0.885,0.129,0.456,0.387,0.0,8,49,35,116,19,0,33,3,92,0,,,0.823,0.0,hitterWpa
2015,65104,한나한,LG,N,Y,False,32,107,0.3271028037383177,0.4,0.523,0.923,0.196,0.413,0.409,0.0,4,22,17,35,9,0,12,3,31,0,,,0.876,0.0,hitterWpa
