collect_year,playerId,playerName,teamName,isRetire,isPlayer,hitterGameCount,hitterAb,hitterHra,hitterObp,hitterSlg,hitterOps,hitterWrcPlus,hitterHr,hitterRbi,hitterRun,hitterHit,hitterH2,hitterH3,hitterBb,hitterKk,hitterSb,hitterCs,hitterGd,hitterWpa,hitterWar,sort_source
2018,78224,김재환,두산,N,Y,139,527,0.33396584440227706,0.405,0.657,1.062,184.9,44,133,104,176,36,1,59,134,2,,,3.839,9.39,hitterWar
2018,75125,박병호,넥센,Y,Y,113,400,0.345,0.457,0.718,1.175,169.3,43,112,88,138,20,0,68,114,0,,,5.25,7.18,hitterWar
2018,67450,러프,삼성,N,Y,137,506,0.3300395256916996,0.419,0.605,1.024,141.8,33,125,97,167,32,4,65,107,5,,,4.102,7.12,hitterWar
2018,76267,최주환,두산,N,Y,138,519,0.3333333333333333,0.397,0.582,0.979,162.2,26,108,87,173,39,6,51,89,1,,,2.592,6.58,hitterWar
2018,79192,채은성,LG,N,Y,139,529,0.33081285444234404,0.379,0.548,0.927,161.2,25,119,78,175,36,2,35,97,3,,,2.205,6.52,hitterWar
2018,76290,김현수,LG,N,Y,117,453,0.3620309050772627,0.415,0.589,1.004,176.1,20,101,95,164,39,2,47,61,1,,,2.765,6.47,hitterWar
2018,67872,로맥,SK,Y,Y,141,528,0.3162878787878788,0.404,0.597,1.001,136.6,43,107,102,167,19,0,72,123,10,,,2.707,6.12,hitterWar
2018,76232,양의지,두산,N,Y,133,439,0.357630979498861,0.427,0.585,1.012,165.0,23,77,84,157,29,1,45,40,6,,,2.58,6.01,hitterWar
2018,77532,손아섭,롯데,N,Y,141,553,0.3291139240506329,0.404,0.546,0.95,125.4,26,93,109,182,32,5,68,99,20,,,2.765,5.82,hitterWar
2018,67025,로하스,KT,N,Y,144,564,0.3049645390070922,0.388,0.59,0.978,122.9,43,114,114,172,30,1,71,142,18,,,3.93,5.8100000000000005,hitterWar
2018,62947,나성범,NC,N,Y,144,556,0.3183453237410072,0.381,0.518,0.899,131.4,23,91,110,177,36,3,44,131,15,,,2.851,5.63,hitterWar
2018,78513,전준우,롯데,N,Y,144,556,0.34172661870503596,0.4,0.592,0.992,130.8,33,90,118,190,36,2,48,82,7,,,3.548,5.43,hitterWar
2018,72443,최형우,KIA,N,Y,143,528,0.3390151515151515,0.414,0.549,0.963,137.2,25,103,92,179,34,1,66,87,3,,,4.105,5.43,hitterWar
2018,71564,이대호,롯데,Y,Y,144,543,0.3333333333333333,0.394,0.593,0.987,125.4,37,125,81,181,30,0,43,75,0,,,2.596,5.27,hitterWar
2018,79608,안치홍,KIA,N,Y,130,494,0.34210526315789475,0.392,0.563,0.955,135.0,23,118,88,169,38,1,36,57,5,,,2.564,5.26,hitterWar
2018,75334,오재일,두산,Y,Y,123,401,0.2793017456359102,0.373,0.539,0.912,147.2,27,80,69,112,19,2,60,121,1,,,0.22,5.25,hitterWar
2018,62404,구자욱,삼성,N,Y,116,478,0.33263598326359833,0.392,0.533,0.925,117.8,20,84,100,159,26,5,43,110,10,,,2.876,5.22,hitterWar
2018,62895,한유섬,SK,N,Y,136,486,0.2839506172839506,0.367,0.601,0.968,125.9,41,115,97,138,31,0,52,124,4,,,2.252,4.72,hitterWar
2018,61404,김헌곤,삼성,N,Y,141,513,0.3001949317738791,0.375,0.423,0.798,95.4,11,71,77,154,26,2,54,70,22,,,-2.525,4.24,hitterWar
2018,78135,이형종,LG,N,Y,118,437,0.3157894736842105,0.377,0.467,0.844,144.1,13,42,83,138,27,0,31,82,6,,,0.454,4.17,hitterWar
2018,67341,이정후,넥센,N,Y,109,459,0.355119825708061,0.412,0.477,0.889,118.3,6,57,81,163,34,2,42,58,11,,,1.529,4.03,hitterWar
2018,68730,호잉,한화,N,Y,142,529,0.30623818525519847,0.369,0.573,0.942,104.8,30,110,85,162,47,2,51,93,23,,,3.072,4.01,hitterWar
2018,67650,버나디나,KIA,N,Y,131,513,0.30994152046783624,0.395,0.487,0.882,120.3,20,70,106,159,25,3,63,103,32,,,1.164,3.99,hitterWar
2018,68050,강백호,KT,N,Y,138,527,0.2903225806451613,0.356,0.524,0.88,107.1,29,84,108,153,32,2,52,124,3,,,1.066,3.94,hitterWar
2018,63704,노수광,SK,N,Y,135,515,0.312621359223301,0.383,0.431,0.814,106.7,8,53,93,161,21,8,48,86,25,,,1.471,3.83,hitterWar
2018,70410,김주찬,KIA,Y,Y,121,429,0.34032634032634035,0.375,0.52,0.895,116.8,18,93,71,146,23,0,23,57,8,,,1.105,3.7199999999999998,hitterWar
2018,74339,유한준,KT,Y,Y,121,428,0.338785046728972,0.406,0.533,0.939,118.7,20,83,59,145,21,1,47,53,1,,,1.9100000000000001,3.71,hitterWar
2018,79215,박건우,두산,N,Y,125,488,0.32581967213114754,0.373,0.473,0.846,129.8,12,84,79,159,24,6,28,65,7,,,2.459,3.56,hitterWar
2018,74206,김재호,두산,Y,Y,131,402,0.31094527363184077,0.39,0.48,0.87,131.4,16,75,78,125,20,0,52,77,6,,,0.594,3.46,hitterWar
2018,61102,유강남,LG,N,Y,132,425,0.2964705882352941,0.352,0.508,0.86,148.2,19,66,53,126,33,0,28,80,0,,,-1.83,3.37,hitterWar
2018,77248,오재원,두산,Y,Y,132,473,0.3128964059196617,0.369,0.463,0.832,124.8,15,81,78,148,24,1,41,119,15,,,2.373,3.34,hitterWar
2018,72133,박용택,LG,Y,Y,134,524,0.30343511450381677,0.362,0.466,0.828,135.2,15,76,89,159,38,1,47,107,3,,,1.169,3.33,hitterWar
2018,79240,허경민,두산,N,Y,133,516,0.3236434108527132,0.376,0.459,0.835,122.5,10,79,85,167,30,5,32,52,20,,,0.671,3.31,hitterWar
2018,62907,박민우,NC,N,Y,115,411,0.3236009732360097,0.383,0.438,0.821,120.0,5,33,68,133,22,5,32,51,17,,,-0.311,3.2800000000000002,hitterWar
2018,73113,박경수,KT,Y,Y,135,458,0.26200873362445415,0.354,0.472,0.826,91.6,25,74,65,120,21,0,58,129,4,,,-0.038,3.08,hitterWar
2018,76812,이재원,SK,N,Y,130,407,0.32923832923832924,0.405,0.514,0.919,128.8,17,57,63,134,24,0,43,65,0,,,1.185,3.03,hitterWar
2018,67935,스크럭스,NC,N,Y,142,501,0.25748502994011974,0.343,0.483,0.826,108.8,26,97,75,129,35,0,55,144,3,,,1.1280000000000001,2.91,hitterWar
2018,62415,박해민,삼성,N,Y,144,576,0.2986111111111111,0.36,0.432,0.792,92.3,9,68,114,172,30,10,56,99,36,,,-0.639,2.88,hitterWar
2018,78629,나지완,KIA,Y,Y,114,317,0.27129337539432175,0.377,0.574,0.951,131.4,26,78,50,86,18,0,38,81,0,,,0.324,2.86,hitterWar
2018,76313,황재균,KT,Y,Y,142,530,0.2962264150943396,0.358,0.526,0.884,101.2,25,88,76,157,41,3,49,120,14,,,1.039,2.7199999999999998,hitterWar
2018,75566,이원석,삼성,Y,Y,128,479,0.30062630480167013,0.374,0.493,0.867,106.7,20,93,74,144,30,1,52,103,2,,,2.615,2.71,hitterWar
2018,76249,민병헌,롯데,Y,Y,118,443,0.3182844243792325,0.374,0.481,0.855,98.9,17,66,74,141,21,0,35,68,8,,,-0.057,2.69,hitterWar
2018,64300,김하성,넥센,N,Y,129,511,0.2876712328767123,0.358,0.474,0.832,98.7,20,84,95,147,27,4,54,81,8,,,-0.376,2.66,hitterWar
2018,73136,이성열,한화,Y,Y,131,485,0.2948453608247423,0.347,0.553,0.9,101.1,34,102,76,143,21,1,35,143,9,,,1.496,2.56,hitterWar
2018,75847,최정,SK,N,Y,115,406,0.2438423645320197,0.368,0.547,0.915,114.4,35,74,95,99,16,1,58,129,9,,,1.665,2.54,hitterWar
2018,75808,정근우,한화,Y,Y,102,375,0.304,0.377,0.461,0.838,101.1,11,57,63,114,24,1,39,43,6,,,0.874,2.42,hitterWar
2018,74215,윤석민,KT,Y,Y,132,460,0.27608695652173915,0.337,0.448,0.785,79.4,19,60,58,127,22,0,40,69,4,,,-0.644,2.34,hitterWar
2018,61186,이천웅,LG,N,Y,112,359,0.3398328690807799,0.407,0.435,0.842,131.9,2,39,61,122,22,3,39,48,10,,,0.843,2.3,hitterWar
2018,76100,이병규,롯데,Y,Y,103,198,0.2727272727272727,0.432,0.49,0.922,119.9,10,39,31,54,11,1,50,58,0,,,1.445,2.15,hitterWar
2018,62934,김성욱,NC,N,Y,111,323,0.26006191950464397,0.32,0.433,0.753,97.8,13,45,49,84,13,2,29,64,11,,,-0.753,2.11,hitterWar
2018,67598,번즈,롯데,N,Y,133,462,0.2683982683982684,0.329,0.513,0.842,90.3,23,64,80,124,34,5,33,133,5,,,-1.432,1.74,hitterOps
2018,76753,송광민,한화,Y,Y,113,434,0.29723502304147464,0.328,0.477,0.805,92.3,18,79,63,129,24,0,18,93,4,,,-0.501,1.24,hitterOps
2018,62556,신본기,롯데,Y,Y,139,425,0.29411764705882354,0.357,0.442,0.799,87.4,11,71,55,125,28,1,33,95,1,,,-0.936,0.98,hitterOps
2018,64346,임병욱,넥센,N,Y,134,423,0.29314420803782504,0.327,0.468,0.795,88.1,13,60,76,124,29,3,22,119,16,,,-0.481,1.18,hitterOps
2018,74540,강민호,삼성,N,Y,129,427,0.2693208430913349,0.331,0.457,0.788,80.5,22,71,46,115,14,0,29,96,0,,,-2.014,0.51,hitterOps
2018,64153,양석환,LG,N,Y,140,483,0.2629399585921325,0.303,0.455,0.758,123.3,22,82,53,127,27,0,24,81,2,,,-0.725,1.99,hitterWrcPlus
2018,79109,오지환,LG,N,Y,144,533,0.2776735459662289,0.354,0.396,0.75,111.8,11,71,93,148,26,2,59,146,10,,,1.256,1.44,hitterWrcPlus
2018,62931,노진혁,NC,N,Y,125,420,0.2833333333333333,0.337,0.431,0.768,101.5,11,42,52,119,21,4,33,92,4,,,-0.68,1.1,hitterWrcPlus
2018,78603,김선빈,KIA,N,Y,127,424,0.294811320754717,0.374,0.373,0.747,93.4,4,49,73,125,17,2,48,42,4,,,0.24,1.5,hitterWrcPlus
2018,76849,이명기,KIA,Y,Y,120,447,0.30201342281879195,0.363,0.418,0.781,93.0,4,42,88,135,28,6,40,64,12,,,-1.031,1.8599999999999999,hitterWrcPlus
2018,74163,이용규,한화,N,Y,134,491,0.29327902240325865,0.379,0.332,0.711,80.3,1,36,82,144,14,1,59,62,30,,,-2.697,1.4,hitterHra
2018,77564,김민성,넥센,N,Y,128,413,0.28329297820823246,0.351,0.414,0.765,81.0,10,45,46,117,24,0,40,80,1,,,-1.956,0.66,hitterHra
2018,66838,김동엽,SK,N,Y,124,421,0.2517814726840855,0.285,0.48,0.765,82.1,27,76,58,106,15,0,17,108,11,,,-0.955,0.78,hitterHr
2018,70756,이범호,KIA,Y,Y,101,332,0.28012048192771083,0.366,0.482,0.848,108.8,20,69,41,93,7,0,42,59,1,,,0.247,1.77,hitterHr
2018,78813,모창민,NC,Y,Y,81,287,0.2787456445993031,0.328,0.498,0.826,110.0,17,62,38,80,10,1,21,51,2,,,0.798,1.12,hitterHr
2018,67394,초이스,넥센,N,Y,96,349,0.25787965616045844,0.335,0.458,0.793,99.1,17,61,55,90,19,0,33,79,2,,,-0.061,1.8,hitterHr
2018,74465,박석민,NC,Y,Y,103,318,0.25471698113207547,0.36,0.456,0.816,105.9,16,55,40,81,14,1,39,80,1,,,0.128,1.21,hitterHr
