player_name,fa_year,age_at_fa,team,annual_avg_salary,games_3yr_avg,ab_3yr_avg,hr_3yr_avg,rbi_3yr_avg,run_3yr_avg,hit_3yr_avg,double_3yr_avg,triple_3yr_avg,bb_3yr_avg,hp_3yr_avg,kk_3yr_avg,sb_3yr_avg,wpa_3yr_avg,war_3yr_avg,war_3yr_sum,war_seasons_valid,avg_3yr_avg,obp_3yr_avg,slg_3yr_avg,ops_3yr_avg,isop_3yr_avg,babip_3yr_avg,woba_3yr_avg,wrc_plus_3yr_avg,active_seasons,war_last_year,ops_last_year,wrc_plus_last_year,position,mvp_count,golden_glove_count,national_team,star_score,age_squared,prime_years_left,market_level,star_x_war,star_x_ops,war_sum_sq,position_enc,player_id,seasons_used
강민호,2014,29,롯데,18.75,116.0,392.3333333333333,16.333333333333332,63.0,50.666666666666664,105.33333333333333,19.666666666666668,0.6666666666666666,50.333333333333336,9.0,88.33333333333333,2.6666666666666665,0.0,0.0,0.0,0,0.2686491079014443,0.36226168224299066,0.4470280373831776,0.8092897196261681,0.17846813933729824,0.30593627867459644,0.36183857264231095,0.0,3,0.0,0.742,0.0,C,0,4,1,14,841,6,,0.0,11.330056074766354,0.0,0,74540,"2011,2012,2013"
정근우,2014,32,한화,17.5,109.66666666666667,400.0,7.666666666666667,40.333333333333336,59.0,112.66666666666667,17.0,2.3333333333333335,45.0,5.666666666666667,39.333333333333336,23.333333333333332,0.0,0.0,0.0,0,0.2816666666666667,0.36106083333333333,0.3933583333333333,0.7544191666666666,0.11147166666666657,0.296525,0.3330741666666666,0.0,3,0.0,0.776,0.0,2B,0,3,1,11,1024,3,,0.0,8.298610833333333,0.0,2,75808,"2011,2012,2013"
이용규,2014,29,한화,16.75,112.0,434.0,2.3333333333333335,30.666666666666668,81.33333333333333,131.33333333333334,16.666666666666668,1.6666666666666667,57.666666666666664,8.666666666666666,36.0,31.666666666666668,0.0,0.0,0.0,0,0.30261136712749614,0.39256835637480797,0.364794930875576,0.757363287250384,0.06203302611367127,0.32388248847926265,0.3522288786482335,0.0,3,0.0,0.742,0.0,OF,0,3,1,11,841,6,,0.0,8.330996159754225,0.0,5,74163,"2011,2012,2013"
이종욱,2014,34,NC,12.5,117.33333333333333,424.6666666666667,3.6666666666666665,45.0,66.0,120.0,17.0,4.0,43.333333333333336,3.6666666666666665,50.333333333333336,23.666666666666668,0.0,0.0,0.0,0,0.28257456828885397,0.35115698587127153,0.3673524332810047,0.7185094191522764,0.08470329670329667,0.3117668759811617,0.3231106750392465,0.0,3,0.0,0.808,0.0,OF,0,3,0,9,1156,1,,0.0,6.466584772370488,0.0,5,73339,"2011,2012,2013"
최준석,2014,31,롯데,8.75,104.33333333333333,297.0,9.333333333333334,47.0,28.666666666666668,78.66666666666667,12.333333333333334,0.3333333333333333,40.0,1.0,66.0,0.3333333333333333,0.0,0.0,0.0,0,0.2648709315375982,0.3505746352413019,0.4028114478114478,0.7533860830527498,0.13790572390572386,0.30948821548821553,0.3408821548821549,0.0,3,0.0,0.777,0.0,1B,0,1,0,3,961,4,,0.0,2.2601582491582493,0.0,1,71552,"2011,2012,2013"
이병규,2014,31,LG,8.5,114.33333333333333,426.3333333333333,8.666666666666666,63.333333333333336,51.666666666666664,140.0,22.666666666666668,1.3333333333333333,24.0,2.0,48.333333333333336,3.0,0.0,0.0,0.0,0,0.3283815480844409,0.36383971853010166,0.4490734949179046,0.8129132134480062,0.12062783424550427,0.35193354182955433,0.36283033620015637,0.0,3,0.0,0.839,0.0,OF,0,0,0,0,961,4,,0.0,0.0,0.0,5,97109,"2011,2012,2013"
손시헌,2014,34,NC,7.5,90.33333333333333,268.0,3.3333333333333335,28.333333333333332,32.666666666666664,70.0,11.666666666666666,1.0,26.333333333333332,6.333333333333333,40.666666666666664,3.0,0.0,0.0,0.0,0,0.2611940298507462,0.33908955223880605,0.34916169154228854,0.6882512437810946,0.08807213930348255,0.2954228855721393,0.314092039800995,0.0,3,0.0,0.661,0.0,SS,0,2,1,8,1156,1,,0.0,5.506009950248757,0.0,4,73213,"2011,2012,2013"
박한이,2014,35,삼성,7.0,114.66666666666667,403.6666666666667,3.6666666666666665,45.333333333333336,64.66666666666667,113.33333333333333,16.666666666666668,3.0,56.333333333333336,2.3333333333333335,78.0,5.333333333333333,0.0,0.0,0.0,0,0.2807597027250206,0.37004541701073496,0.3641403798513625,0.7341857968620975,0.08365152766308835,0.33777952105697767,0.3261717588769612,0.0,3,0.0,0.742,0.0,OF,0,2,0,6,1225,0,,0.0,4.4051147811725855,0.0,5,71432,"2011,2012,2013"
이대형,2014,31,KIA,6.0,102.33333333333333,263.0,1.0,17.666666666666668,41.333333333333336,58.666666666666664,6.666666666666667,3.3333333333333335,24.666666666666668,1.3333333333333333,58.666666666666664,24.0,0.0,0.0,0.0,0,0.2230671736375158,0.29180988593155893,0.28490494296577945,0.5767148288973384,0.0618136882129277,0.28236501901140687,0.26317490494296575,0.0,3,0.0,0.606,0.0,OF,0,1,0,3,961,4,,0.0,1.7301444866920153,0.0,5,73153,"2011,2012,2013"
이대수,2014,33,한화,5.0,120.66666666666667,377.3333333333333,5.333333333333333,46.666666666666664,45.333333333333336,105.0,20.666666666666668,3.0,32.0,4.666666666666667,69.66666666666667,8.0,0.0,0.0,0.0,0,0.27826855123674904,0.3390353356890459,0.3912544169611308,0.7302897526501766,0.11306537102473492,0.3254399293286219,0.32096819787985864,0.0,3,0.0,0.686,0.0,SS,0,1,0,3,1089,2,,0.0,2.1908692579505296,0.0,4,72860,"2011,2012,2013"
한상훈,2014,34,한화,4.33,114.66666666666667,310.0,2.0,31.0,45.0,78.66666666666667,12.0,2.6666666666666665,47.333333333333336,5.666666666666667,54.666666666666664,9.333333333333334,0.0,0.0,0.0,0,0.253763440860215,0.3606666666666667,0.3290387096774193,0.6897053763440859,0.07515698924731182,0.29978494623655916,0.31475913978494624,0.0,3,0.0,0.725,0.0,2B,0,0,0,0,1156,1,,0.0,0.0,0.0,2,73703,"2011,2012,2013"
권용관,2014,38,LG,1.0,33.0,55.333333333333336,1.6666666666666667,7.666666666666667,9.333333333333334,12.333333333333334,3.0,0.3333333333333333,6.0,0.6666666666666666,17.666666666666668,0.3333333333333333,0.0,0.0,0.0,0,0.22289156626506015,0.3059819277108433,0.3796566265060241,0.6856385542168675,0.15645783132530114,0.2985481927710843,0.2956024096385542,0.0,3,0.0,0.72,0.0,IF,0,0,0,0,1444,0,,0.0,0.0,0.0,6,95158,"2011,2012,2013"
최정,2015,28,SK,21.5,110.66666666666667,405.3333333333333,22.666666666666668,81.0,75.0,124.33333333333333,23.666666666666668,0.3333333333333333,50.0,19.0,92.0,17.0,1.22,0.0,0.0,0,0.3067434210526316,0.40374342105263156,0.5345345394736842,0.9382779605263157,0.22755756578947367,0.34625164473684206,0.4081743421052632,0.0,3,0.0,0.903,0.0,3B,0,3,1,11,784,7,8.0,0.0,10.321057565789474,0.0,3,75847,"2012,2013,2014"
김강민,2015,33,SK,14.0,113.66666666666667,403.0,10.333333333333334,56.0,58.0,117.33333333333333,23.666666666666668,2.0,36.0,4.0,72.33333333333333,17.666666666666668,1.0743333333333334,0.0,0.0,0,0.29114971050454924,0.35233581472291153,0.4367576509511993,0.7890934656741109,0.14564433416046318,0.331106699751861,0.35102233250620346,0.0,3,0.0,0.863,0.0,OF,0,1,0,3,1089,2,8.0,0.0,2.3672803970223324,0.0,5,71837,"2012,2013,2014"
박용택,2015,36,LG,12.5,125.33333333333333,479.6666666666667,9.0,72.0,77.33333333333333,155.66666666666666,26.666666666666668,3.0,56.333333333333336,4.0,67.33333333333333,18.0,0.7306666666666667,0.0,0.0,0,0.32453092425295343,0.394180681028492,0.4489318971507992,0.8431125781792911,0.12407088255733145,0.3577004864489229,0.373230020847811,0.0,3,0.0,0.891,0.0,OF,0,3,0,9,1296,0,8.0,0.0,7.588013203613619,0.0,5,72133,"2012,2013,2014"
조동찬,2015,32,삼성,7.0,66.33333333333333,188.33333333333334,4.666666666666667,23.333333333333332,28.0,50.0,11.333333333333334,0.6666666666666666,21.0,3.6666666666666665,47.666666666666664,8.0,-0.09899999999999999,0.0,0.0,0,0.26548672566371684,0.3485256637168141,0.40710265486725666,0.7556283185840708,0.14166902654867258,0.33031504424778757,0.33433982300884957,0.0,3,0.0,0.725,0.0,3B,0,0,0,0,1024,3,8.0,0.0,0.0,0.0,3,72466,"2012,2013,2014"
