player_name,fa_year,age_at_fa,position,games_3yr_avg,ab_3yr_avg,avg_3yr_avg,obp_3yr_avg,slg_3yr_avg,ops_3yr_avg,isop_3yr_avg,babip_3yr_avg,woba_3yr_avg,wrc_plus_3yr_avg,hr_3yr_avg,rbi_3yr_avg,run_3yr_avg,hit_3yr_avg,double_3yr_avg,triple_3yr_avg,bb_3yr_avg,hp_3yr_avg,kk_3yr_avg,sb_3yr_avg,cs_3yr_avg,gd_3yr_avg,wpa_3yr_avg,war_3yr_avg,war_3yr_sum,war_last_year,ops_last_year,wrc_plus_last_year,contract_years,total_contract_amount,annual_avg_salary,team
민병헌,2018,31,OF,128.66666666666666,483.0,0.31085537001306496,0.38599999999999995,0.45533333333333337,0.8413333333333334,0.14466666666666664,0.34500000000000003,0.37200000000000005,42.63333333333333,14.0,77.66666666666667,83.66666666666667,150.33333333333334,24.0,2.0,48.333333333333336,14.0,79.66666666666667,6.333333333333333,,,1.411333333333333,1.0466666666666666,3.14,3.14,0.834,127.9,4,80.0,20.0,롯데
황재균,2018,31,3B,135.5,516.0,0.3128017688732458,0.372,0.5455,0.9175,0.23299999999999996,0.334,0.395,0.0,26.5,105.0,96.0,161.0,33.5,3.5,48.5,4.0,94.0,18.0,,,1.7654999999999998,0.0,0.0,,,,4,88.0,22.0,KT
정근우,2018,36,2B,123.0,478.0,0.31857593576263654,0.39200000000000007,0.467,0.859,0.1483333333333333,0.33866666666666667,0.381,37.9,13.666666666666666,66.66666666666667,97.66666666666667,151.66666666666666,27.666666666666668,1.3333333333333333,51.0,9.0,57.333333333333336,16.333333333333332,,,2.3263333333333334,1.0166666666666666,3.05,3.05,0.863,113.7,3,35.0,11.67,한화
손아섭,2018,32,OF,134.66666666666666,532.0,0.32513387929942644,0.4146666666666667,0.48466666666666663,0.8993333333333333,0.15966666666666662,0.3746666666666667,0.40599999999999997,41.266666666666666,16.333333333333332,71.66666666666667,105.66666666666667,173.33333333333334,32.0,2.0,81.0,2.6666666666666665,98.66666666666667,26.0,,,3.2413333333333334,2.0933333333333333,6.28,6.28,0.934,123.8,4,98.0,24.5,롯데
강민호,2018,33,C,123.0,405.6666666666667,0.30614956025233686,0.40499999999999997,0.5566666666666668,0.9616666666666666,0.25033333333333335,0.35133333333333333,0.414,29.666666666666668,25.666666666666668,75.33333333333333,63.333333333333336,123.66666666666667,22.0,0.6666666666666666,55.666666666666664,13.0,102.33333333333333,1.3333333333333333,,,2.8393333333333337,0.7866666666666666,2.36,2.36,0.843,89.0,4,80.0,20.0,삼성
최준석,2018,35,1B,128.33333333333334,413.6666666666667,0.2860706426250906,0.39200000000000007,0.4756666666666667,0.8676666666666666,0.18933333333333335,0.339,0.387,30.8,21.333333333333332,87.0,56.666666666666664,119.66666666666667,14.333333333333334,0.3333333333333333,73.66666666666667,1.6666666666666667,108.33333333333333,0.0,,,1.8170000000000002,0.5633333333333334,1.69,1.69,0.794,92.4,1,0.55,0.55,NC
김주찬,2018,37,OF,116.66666666666667,428.0,0.32759929472258237,0.37600000000000006,0.5419999999999999,0.918,0.2146666666666666,0.3466666666666667,0.39433333333333326,36.833333333333336,17.666666666666668,77.66666666666667,80.33333333333333,140.66666666666666,33.0,2.3333333333333335,28.0,7.666666666666667,61.666666666666664,8.666666666666666,,,1.845,0.9366666666666666,2.81,2.81,0.848,110.5,3,27.0,9.0,KIA
이대형,2018,35,OF,127.66666666666667,494.3333333333333,0.29642003891262053,0.351,0.3406666666666667,0.6916666666666668,0.04433333333333323,0.3516666666666666,0.326,19.2,0.3333333333333333,34.333333333333336,75.33333333333333,149.0,15.0,3.0,40.333333333333336,2.6666666666666665,78.66666666666667,34.666666666666664,,,-0.26266666666666666,-0.11,-0.33,-0.33,0.624,57.6,2,4.0,2.0,KT
이종욱,2018,38,OF,122.0,403.6666666666667,0.2936645601333843,0.36566666666666664,0.393,0.7586666666666666,0.09933333333333327,0.33,0.3446666666666666,37.93333333333333,5.0,47.666666666666664,62.666666666666664,118.0,21.333333333333332,2.0,45.333333333333336,3.0,60.333333333333336,13.666666666666666,,,0.2936666666666667,0.6,1.8,1.8,0.774,113.8,1,5.0,5.0,NC
지석훈,2018,34,OF,139.0,383.0,0.24342154944564579,0.30300000000000005,0.35950000000000004,0.6625,0.11649999999999995,0.28800000000000003,0.29800000000000004,0.0,10.0,50.0,43.5,94.0,14.5,0.0,22.5,12.5,88.0,2.0,,,-0.5790000000000001,0.0,0.0,,,,2,6.0,3.0,NC
손시헌,2018,38,SS,124.66666666666667,376.6666666666667,0.30000336109033765,0.3663333333333334,0.4223333333333334,0.7886666666666665,0.1223333333333333,0.329,0.3466666666666667,38.166666666666664,7.666666666666667,47.333333333333336,41.333333333333336,111.33333333333333,20.666666666666668,1.6666666666666667,30.0,11.666666666666666,52.666666666666664,1.6666666666666667,,,0.0043333333333333375,0.9,2.7,2.7,0.833,114.5,2,15.0,7.5,NC
정의윤,2018,32,OF,115.66666666666667,394.6666666666667,0.3173813715987785,0.37033333333333335,0.5143333333333334,0.8846666666666666,0.19699999999999998,0.33666666666666667,0.3893333333333333,39.86666666666667,18.666666666666668,65.33333333333333,50.0,124.66666666666667,20.666666666666668,0.3333333333333333,23.333333333333332,9.333333333333334,61.0,2.3333333333333335,,,1.2903333333333333,0.7333333333333334,2.2,2.2,0.863,119.6,4,29.0,7.25,SK
채태인,2018,36,1B,112.33333333333333,348.3333333333333,0.31882408724513983,0.38033333333333336,0.458,0.8383333333333334,0.13933333333333334,0.4066666666666667,0.37233333333333335,36.6,9.0,61.0,36.666666666666664,110.66666666666667,18.666666666666668,1.3333333333333333,34.333333333333336,3.3333333333333335,92.66666666666667,0.0,,,0.8119999999999999,0.6466666666666666,1.94,1.94,0.888,109.8,2,10.0,5.0,롯데
김상수,2019,29,SS,113.5,405.5,0.26682143870164143,0.32,0.347,0.667,0.07999999999999995,0.3005,0.302,30.45,6.5,44.0,59.5,108.0,13.0,0.5,25.0,8.0,65.0,9.0,,,-2.0085,-0.23,-0.46,-0.46,0.676,60.9,3,18.0,6.0,삼성
김민성,2019,31,IF,134.0,465.0,0.2903183307221194,0.35433333333333333,0.4506666666666666,0.805,0.16033333333333333,0.3256666666666667,0.35333333333333333,55.96666666666667,14.0,71.0,60.333333333333336,135.33333333333334,29.666666666666668,2.0,45.333333333333336,5.333333333333333,87.33333333333333,2.3333333333333335,,,0.0776666666666667,0.8133333333333334,2.44,0.66,0.765,81.0,3,18.0,6.0,LG
이용규,2019,34,OF,101.33333333333333,374.0,0.30253958876997267,0.383,0.36133333333333334,0.7443333333333334,0.05866666666666664,0.3316666666666667,0.34800000000000003,49.76666666666667,1.3333333333333333,29.666666666666668,70.33333333333333,116.66666666666667,14.0,2.0,46.333333333333336,7.0,37.0,20.333333333333332,,,-0.15866666666666665,0.4533333333333333,1.3599999999999999,1.4,0.711,80.3,3,26.0,8.67,한화
송광민,2019,36,IF,115.33333333333333,440.0,0.31654439406161816,0.35000000000000003,0.48699999999999993,0.8370000000000001,0.17066666666666663,0.361,0.36966666666666664,66.43333333333334,16.0,79.0,71.33333333333333,139.33333333333334,25.666666666666668,0.6666666666666666,22.333333333333332,3.6666666666666665,89.0,3.0,,,0.24166666666666667,1.1733333333333331,3.5199999999999996,1.24,0.805,92.3,2,16.0,8.0,한화
모창민,2019,34,IF,108.5,380.5,0.2954909657595671,0.34450000000000003,0.4915,0.836,0.19599999999999995,0.3115,0.3665,115.95,17.0,76.0,51.0,114.0,17.5,2.0,30.0,2.0,66.0,5.5,,,1.104,1.87,3.74,1.12,0.826,110.0,3,20.0,6.67,NC
박경수,2019,35,IF,129.0,434.0,0.2792950027864589,0.37266666666666665,0.4746666666666666,0.8473333333333334,0.19566666666666657,0.3263333333333333,0.373,57.96666666666666,20.0,73.33333333333333,63.666666666666664,120.66666666666667,23.333333333333332,0.6666666666666666,60.0,6.666666666666667,109.0,2.6666666666666665,,,0.503,1.76,5.28,3.08,0.826,91.6,3,26.0,8.67,KT
박용택,2019,42,OF,136.66666666666666,514.0,0.33100751360998215,0.3993333333333333,0.4676666666666667,0.867,0.1366666666666667,0.373,0.38533333333333336,98.7,13.333333333333334,85.33333333333333,85.33333333333333,170.0,28.333333333333332,1.0,59.0,5.0,88.66666666666667,4.333333333333333,,,2.879,2.8666666666666667,8.6,3.33,0.828,135.2,2,25.0,12.5,LG
최정,2019,32,3B,128.66666666666666,445.3333333333333,0.2827071447664872,0.3993333333333333,0.6036666666666667,1.003,0.32099999999999995,0.2946666666666667,0.4243333333333334,87.23333333333335,40.333333333333336,97.66666666666667,96.66666666666667,126.33333333333333,19.333333333333332,1.0,68.33333333333333,21.666666666666668,120.66666666666667,3.6666666666666665,,,2.766,2.58,7.74,2.54,0.915,114.4,6,106.0,17.67,SK
