player_name,fa_year,age_at_fa,position,games_3yr_avg,ab_3yr_avg,avg_3yr_avg,obp_3yr_avg,slg_3yr_avg,ops_3yr_avg,isop_3yr_avg,babip_3yr_avg,woba_3yr_avg,wrc_plus_3yr_avg,hr_3yr_avg,rbi_3yr_avg,run_3yr_avg,hit_3yr_avg,double_3yr_avg,triple_3yr_avg,bb_3yr_avg,hp_3yr_avg,kk_3yr_avg,sb_3yr_avg,cs_3yr_avg,gd_3yr_avg,wpa_3yr_avg,war_3yr_avg,war_3yr_sum,war_last_year,ops_last_year,wrc_plus_last_year,contract_years,total_contract_amount,annual_avg_salary,team,mvp_count,golden_glove_count,allstar_count,national_team,postseason_experience,star_score,war_trend,ops_trend,woba_trend,war_std,ops_std,war_peak,ops_peak,hr_peak,war_sum_sq,ops_sq,is_prime
민병헌,2018,31,OF,128.66666666666666,483.0,0.3108553700130649,0.3859999999999999,0.4553333333333333,0.8413333333333334,0.1446666666666666,0.345,0.372,42.63333333333333,14.0,77.66666666666667,83.66666666666667,150.33333333333334,24.0,2.0,48.333333333333336,14.0,79.66666666666667,6.333333333333333,,,1.411333333333333,3.423488659912613,10.27046597973784,3.14,0.834,127.9,4,80.0,20.0,롯데,0,1,5,1,1,11,-0.28436852200255114,-0.007333333333333414,-0.0020000000000000573,0.27391505148484935,0.03791510985814962,3.7943577235022388,0.891,16,105.48247144095237,0.7078417777777779,1
황재균,2018,31,3B,135.5,516.0,0.3128017688732458,0.372,0.5455,0.9175,0.2329999999999999,0.334,0.395,0.0,26.5,105.0,96.0,161.0,33.5,3.5,48.5,4.0,94.0,18.0,,,1.7654999999999998,2.957990629631124,8.873971888893372,0.0,,,4,88.0,22.0,KT,0,1,5,1,1,11,-2.9585962491997555,-0.6116666666666667,-0.26333333333333336,2.1092029675834536,0.43417687128122745,4.766736149369777,0.964,27,78.74737708486981,0.84180625,1
정근우,2018,36,2B,123.0,478.0,0.3185759357626365,0.392,0.467,0.859,0.1483333333333333,0.3386666666666666,0.381,37.9,13.666666666666666,66.66666666666667,97.66666666666669,151.66666666666666,27.666666666666668,1.3333333333333333,51.0,9.0,57.333333333333336,16.333333333333332,,,2.326333333333334,3.5847945103567205,10.75438353107016,3.05,0.863,113.7,3,35.0,11.67,한화,0,1,6,1,1,12,-0.5363030021871014,0.0040000000000000036,0.0020000000000000018,0.454646493631381,0.01019803902718558,4.161601811002518,0.869,18,115.65676513335306,0.737881,0
손아섭,2018,32,OF,134.66666666666666,532.0,0.3251338792994264,0.4146666666666667,0.4846666666666666,0.8993333333333333,0.1596666666666666,0.3746666666666667,0.4059999999999999,41.266666666666666,16.333333333333332,71.66666666666667,105.66666666666669,173.33333333333334,32.0,2.0,81.0,2.6666666666666665,98.66666666666669,26.0,,,3.2413333333333334,4.935942988047986,14.807828964143958,6.28,0.934,123.8,4,98.0,24.5,롯데,0,2,7,1,1,16,1.3412366380482394,0.034666666666666734,0.01200000000000001,1.1361406242520566,0.0247296493213219,6.28,0.934,20,219.27179863134074,0.8088004444444444,1
강민호,2018,33,C,123.0,405.6666666666667,0.3061495602523368,0.4049999999999999,0.5566666666666668,0.9616666666666666,0.2503333333333333,0.3513333333333333,0.414,29.666666666666668,25.666666666666668,75.33333333333333,63.333333333333336,123.66666666666669,22.0,0.6666666666666666,55.666666666666664,13.0,102.33333333333331,1.3333333333333333,,,2.8393333333333337,3.695098276319624,11.085294828958872,2.36,0.843,89.0,4,80.0,20.0,삼성,1,4,8,1,1,28,-1.3363393720522287,-0.11866666666666659,-0.04799999999999999,0.9640015194082951,0.08974903280196893,4.5981673687791265,1.06,35,122.88376144494232,0.9248027777777775,0
최준석,2018,35,1B,128.33333333333334,413.6666666666667,0.2860706426250906,0.392,0.4756666666666667,0.8676666666666666,0.1893333333333333,0.339,0.387,30.8,21.333333333333332,87.0,56.666666666666664,119.66666666666669,14.333333333333334,0.3333333333333333,73.66666666666667,1.6666666666666667,108.33333333333331,0.0,,,1.817,4.006109936951481,12.018329810854445,1.69,0.794,92.4,1,0.55,0.55,NC,0,0,3,0,1,4,-2.3174008174127985,-0.07366666666666655,-0.028000000000000025,1.9967059013122381,0.06746027637720502,6.563417143545728,0.957,31,144.44025144247263,0.7528454444444443,0
김주찬,2018,37,OF,116.66666666666669,428.0,0.3275992947225823,0.376,0.5419999999999999,0.918,0.2146666666666666,0.3466666666666667,0.3943333333333332,36.833333333333336,17.666666666666668,77.66666666666667,80.33333333333333,140.66666666666666,33.0,2.3333333333333335,28.0,7.666666666666667,61.666666666666664,8.666666666666666,,,1.845,3.001947134440492,9.005841403321476,2.81,0.848,110.5,3,27.0,9.0,KIA,0,1,5,1,1,11,-0.1925254469860893,-0.07000000000000006,-0.024333333333333262,0.5774440771749348,0.04950420857529858,3.786074833810908,0.954,23,81.10517938177934,0.842724,0
이대형,2018,35,OF,127.66666666666669,494.3333333333333,0.2964200389126205,0.351,0.3406666666666667,0.6916666666666668,0.0443333333333332,0.3516666666666666,0.326,19.2,0.3333333333333333,34.333333333333336,75.33333333333333,149.0,15.0,3.0,40.333333333333336,2.6666666666666665,78.66666666666667,34.666666666666664,,,-0.2626666666666666,1.3021230572801965,3.9063691718405886,-0.33,0.624,57.6,2,4.0,2.0,KT,0,1,4,1,0,9,-1.6338029643590188,-0.06766666666666676,-0.02100000000000002,1.1559612254265703,0.04784930047091132,2.169545385035946,0.726,1,15.259720106706526,0.4784027777777779,0
이종욱,2018,38,OF,122.0,403.6666666666667,0.2936645601333843,0.3656666666666666,0.393,0.7586666666666666,0.0993333333333332,0.33,0.3446666666666666,37.93333333333333,5.0,47.666666666666664,62.666666666666664,118.0,21.333333333333332,2.0,45.333333333333336,3.0,60.333333333333336,13.666666666666666,,,0.2936666666666667,2.417118135296358,7.2513544058890735,1.8,0.774,113.8,1,5.0,5.0,NC,0,0,3,1,1,6,-0.6181655100044561,0.015333333333333421,0.013333333333333364,0.4516580423588698,0.029044027881055978,2.8665179046338047,0.784,5,52.58214071980688,0.575575111111111,0
지석훈,2018,34,OF,139.0,383.0,0.2434215494456457,0.303,0.3595,0.6625,0.1164999999999999,0.288,0.298,0.0,10.0,50.0,43.5,94.0,14.5,0.0,22.5,12.5,88.0,2.0,,,-0.5790000000000001,1.01624247305702,3.0487274191710596,0.0,,,2,6.0,3.0,NC,0,0,2,0,1,3,-1.0142875624765735,-0.44166666666666665,-0.19866666666666669,0.7175528975166148,0.31480611316950136,1.5486121559862491,0.711,11,9.29473887640543,0.43890625,0
