player_name,year,team,award,source
-,1982,,GG,KBO 골든글러브
김성관,1982,롯데,GG,KBO 골든글러브
김용달,1982,MBC,GG,KBO 골든글러브
김용운,1982,MBC,GG,KBO 골든글러브
김용희,1982,롯데,GG,KBO 골든글러브
김준환,1982,해태,GG,KBO 골든글러브
양승관,1982,삼미,GG,KBO 골든글러브
오대석,1982,삼성,GG,KBO 골든글러브
차영화,1982,해태,GG,KBO 골든글러브
황태환,1982,OB,GG,KBO 골든글러브
-,1983,,GG,KBO 골든글러브
김용희,1983,롯데,GG,KBO 골든글러브
김재박,1983,MBC,GG,KBO 골든글러브
김종모,1983,해태,GG,KBO 골든글러브
박종훈,1983,OB,GG,KBO 골든글러브
신경식,1983,OB,GG,KBO 골든글러브
이만수,1983,삼성,GG,KBO 골든글러브
장명부,1983,삼미,GG,KBO 골든글러브
장효조,1983,삼성,GG,KBO 골든글러브
정구선,1983,삼미,GG,KBO 골든글러브
김용철,1984,롯데,GG,KBO 골든글러브
김재박,1984,MBC,GG,KBO 골든글러브
김종모,1984,해태,GG,KBO 골든글러브
양세종,1984,OB,GG,KBO 골든글러브
이광은,1984,MBC,GG,KBO 골든글러브
이만수,1984,삼성,GG,KBO 골든글러브
장효조,1984,삼성,GG,KBO 골든글러브
정구선,1984,삼미,GG,KBO 골든글러브
최동원,1984,롯데,GG,KBO 골든글러브
홍문종,1984,롯데,GG,KBO 골든글러브
김성한,1985,해태,GG,KBO 골든글러브
김시진,1985,삼성,GG,KBO 골든글러브
김용희,1985,롯데,GG,KBO 골든글러브
김재박,1985,MBC,GG,KBO 골든글러브
박종훈,1985,OB,GG,KBO 골든글러브
이광은,1985,MBC,GG,KBO 골든글러브
이만수,1985,삼성,GG,KBO 골든글러브
이순철,1985,해태,GG,KBO 골든글러브
장효조,1985,삼성,GG,KBO 골든글러브
정구선,1985,청보,GG,KBO 골든글러브
김봉연,1986,해태,GG,KBO 골든글러브
김성래,1986,삼성,GG,KBO 골든글러브
김성한,1986,해태,GG,KBO 골든글러브
김재박,1986,MBC,GG,KBO 골든글러브
김종모,1986,해태,GG,KBO 골든글러브
선동열,1986,해태,GG,KBO 골든글러브
이광은,1986,MBC,GG,KBO 골든글러브
이만수,1986,삼성,GG,KBO 골든글러브
장효조,1986,삼성,GG,KBO 골든글러브
한대화,1986,해태,GG,KBO 골든글러브
김성래,1987,삼성,GG,KBO 골든글러브
김성한,1987,해태,GG,KBO 골든글러브
김시진,1987,삼성,GG,KBO 골든글러브
김종모,1987,해태,GG,KBO 골든글러브
류중일,1987,삼성,GG,KBO 골든글러브
유승안,1987,빙그레,GG,KBO 골든글러브
이광은,1987,MBC,GG,KBO 골든글러브
이만수,1987,삼성,GG,KBO 골든글러브
장효조,1987,삼성,GG,KBO 골든글러브
한대화,1987,해태,GG,KBO 골든글러브
김성래,1988,삼성,GG,KBO 골든글러브
김성한,1988,해태,GG,KBO 골든글러브
김용철,1988,롯데,GG,KBO 골든글러브
선동열,1988,해태,GG,KBO 골든글러브
이강돈,1988,빙그레,GG,KBO 골든글러브
이순철,1988,해태,GG,KBO 골든글러브
이정훈,1988,빙그레,GG,KBO 골든글러브
장종훈,1988,빙그레,GG,KBO 골든글러브
장채근,1988,해태,GG,KBO 골든글러브
한대화,1988,해태,GG,KBO 골든글러브
강기웅,1989,삼성,GG,KBO 골든글러브
고원부,1989,빙그레,GG,KBO 골든글러브
김성한,1989,해태,GG,KBO 골든글러브
김일권,1989,태평양,GG,KBO 골든글러브
김재박,1989,MBC,GG,KBO 골든글러브
박철우,1989,해태,GG,KBO 골든글러브
선동열,1989,해태,GG,KBO 골든글러브
유승안,1989,빙그레,GG,KBO 골든글러브
이강돈,1989,빙그레,GG,KBO 골든글러브
한대화,1989,해태,GG,KBO 골든글러브
강기웅,1990,삼성,GG,KBO 골든글러브
김동수,1990,LG,GG,KBO 골든글러브
김상훈,1990,LG,GG,KBO 골든글러브
박승호,1990,삼성,GG,KBO 골든글러브
선동열,1990,해태,GG,KBO 골든글러브
이강돈,1990,빙그레,GG,KBO 골든글러브
이정훈,1990,빙그레,GG,KBO 골든글러브
이호성,1990,해태,GG,KBO 골든글러브
장종훈,1990,빙그레,GG,KBO 골든글러브
한대화,1990,해태,GG,KBO 골든글러브
김성한,1991,해태,GG,KBO 골든글러브
류중일,1991,삼성,GG,KBO 골든글러브
박정태,1991,롯데,GG,KBO 골든글러브
선동열,1991,해태,GG,KBO 골든글러브
이순철,1991,해태,GG,KBO 골든글러브
이정훈,1991,빙그레,GG,KBO 골든글러브
이호성,1991,해태,GG,KBO 골든글러브
장종훈,1991,빙그레,GG,KBO 골든글러브
장채근,1991,해태,GG,KBO 골든글러브
한대화,1991,해태,GG,KBO 골든글러브
김기태,1992,쌍방울,GG,KBO 골든글러브
김응국,1992,롯데,GG,KBO 골든글러브
박계원,1992,롯데,GG,KBO 골든글러브
박정태,1992,롯데,GG,KBO 골든글러브
송구홍,1992,LG,GG,KBO 골든글러브
염종석,1992,롯데,GG,KBO 골든글러브
이순철,1992,해태,GG,KBO 골든글러브
이정훈,1992,빙그레,GG,KBO 골든글러브
장종훈,1992,빙그레,GG,KBO 골든글러브
장채근,1992,해태,GG,KBO 골든글러브
강기웅,1993,삼성,GG,KBO 골든글러브
김광림,1993,쌍방울,GG,KBO 골든글러브
김기태,1993,쌍방울,GG,KBO 골든글러브
김동수,1993,LG,GG,KBO 골든글러브
김성래,1993,삼성,GG,KBO 골든글러브
선동열,1993,해태,GG,KBO 골든글러브
이순철,1993,해태,GG,KBO 골든글러브
이종범,1993,해태,GG,KBO 골든글러브
전준호,1993,롯데,GG,KBO 골든글러브
한대화,1993,LG,GG,KBO 골든글러브
김기태,1994,쌍방울,GG,KBO 골든글러브
김동수,1994,LG,GG,KBO 골든글러브
김재현,1994,LG,GG,KBO 골든글러브
박노준,1994,쌍방울,GG,KBO 골든글러브
박종호,1994,LG,GG,KBO 골든글러브
서용빈,1994,LG,GG,KBO 골든글러브
윤덕규,1994,태평양,GG,KBO 골든글러브
이종범,1994,해태,GG,KBO 골든글러브
정명원,1994,태평양,GG,KBO 골든글러브
한대화,1994,LG,GG,KBO 골든글러브
김광림,1995,쌍방울,GG,KBO 골든글러브
김동수,1995,LG,GG,KBO 골든글러브
김민호,1995,OB,GG,KBO 골든글러브
김상호,1995,OB,GG,KBO 골든글러브
김형석,1995,OB,GG,KBO 골든글러브
이명수,1995,OB,GG,KBO 골든글러브
이상훈,1995,LG,GG,KBO 골든글러브
장종훈,1995,한화,GG,KBO 골든글러브
전준호,1995,롯데,GG,KBO 골든글러브
홍현우,1995,해태,GG,KBO 골든글러브
구대성,1996,한화,GG,KBO 골든글러브
김경기,1996,현대,GG,KBO 골든글러브
김응국,1996,롯데,GG,KBO 골든글러브
박경완,1996,쌍방울,GG,KBO 골든글러브
박재용,1996,해태,GG,KBO 골든글러브
박재홍,1996,현대,GG,KBO 골든글러브
박정태,1996,롯데,GG,KBO 골든글러브
양준혁,1996,삼성,GG,KBO 골든글러브
이종범,1996,해태,GG,KBO 골든글러브
홍현우,1996,해태,GG,KBO 골든글러브
김동수,1997,LG,GG,KBO 골든글러브
박재용,1997,해태,GG,KBO 골든글러브
박재홍,1997,현대,GG,KBO 골든글러브
양준혁,1997,삼성,GG,KBO 골든글러브
이대진,1997,해태,GG,KBO 골든글러브
이병규,1997,LG,GG,KBO 골든글러브
이승엽,1997,삼성,GG,KBO 골든글러브
이종범,1997,해태,GG,KBO 골든글러브
최태원,1997,쌍방울,GG,KBO 골든글러브
홍현우,1997,해태,GG,KBO 골든글러브
김재현,1998,LG,GG,KBO 골든글러브
김한수,1998,삼성,GG,KBO 골든글러브
박경완,1998,현대,GG,KBO 골든글러브
박재홍,1998,현대,GG,KBO 골든글러브
박정태,1998,롯데,GG,KBO 골든글러브
양준혁,1998,삼성,GG,KBO 골든글러브
유지현,1998,LG,GG,KBO 골든글러브
이승엽,1998,삼성,GG,KBO 골든글러브
전준호,1998,현대,GG,KBO 골든글러브
정민태,1998,현대,GG,KBO 골든글러브
김동수,1999,삼성,GG,KBO 골든글러브
김한수,1999,삼성,GG,KBO 골든글러브
로마이어,1999,한화,GG,KBO 골든글러브
박정태,1999,롯데,GG,KBO 골든글러브
유지현,1999,LG,GG,KBO 골든글러브
이병규,1999,LG,GG,KBO 골든글러브
이승엽,1999,삼성,GG,KBO 골든글러브
정민태,1999,현대,GG,KBO 골든글러브
정수근,1999,두산,GG,KBO 골든글러브
호세,1999,롯데,GG,KBO 골든글러브
김동주,2000,두산,GG,KBO 골든글러브
박경완,2000,현대,GG,KBO 골든글러브
박재홍,2000,현대,GG,KBO 골든글러브
박종호,2000,현대,GG,KBO 골든글러브
박진만,2000,현대,GG,KBO 골든글러브
송지만,2000,한화,GG,KBO 골든글러브
우즈,2000,두산,GG,KBO 골든글러브
이병규,2000,LG,GG,KBO 골든글러브
이승엽,2000,삼성,GG,KBO 골든글러브
임선동,2000,현대,GG,KBO 골든글러브
김한수,2001,삼성,GG,KBO 골든글러브
박진만,2001,현대,GG,KBO 골든글러브
신윤호,2001,LG,GG,KBO 골든글러브
심재학,2001,두산,GG,KBO 골든글러브
안경현,2001,두산,GG,KBO 골든글러브
양준혁,2001,LG,GG,KBO 골든글러브
이병규,2001,LG,GG,KBO 골든글러브
이승엽,2001,삼성,GG,KBO 골든글러브
정수근,2001,두산,GG,KBO 골든글러브
홍성흔,2001,두산,GG,KBO 골든글러브
김종국,2002,KIA,GG,KBO 골든글러브
김한수,2002,삼성,GG,KBO 골든글러브
마해영,2002,삼성,GG,KBO 골든글러브
브리또,2002,삼성,GG,KBO 골든글러브
송지만,2002,한화,GG,KBO 골든글러브
송진우,2002,한화,GG,KBO 골든글러브
심정수,2002,현대,GG,KBO 골든글러브
이승엽,2002,삼성,GG,KBO 골든글러브
이종범,2002,KIA,GG,KBO 골든글러브
진갑용,2002,삼성,GG,KBO 골든글러브
김동수,2003,현대,GG,KBO 골든글러브
김동주,2003,두산,GG,KBO 골든글러브
김한수,2003,삼성,GG,KBO 골든글러브
심정수,2003,현대,GG,KBO 골든글러브
안경현,2003,두산,GG,KBO 골든글러브
양준혁,2003,삼성,GG,KBO 골든글러브
이승엽,2003,삼성,GG,KBO 골든글러브
이종범,2003,KIA,GG,KBO 골든글러브
정민태,2003,현대,GG,KBO 골든글러브
홍세완,2003,KIA,GG,KBO 골든글러브
김기태,2004,SK,GG,KBO 골든글러브
김한수,2004,삼성,GG,KBO 골든글러브
박종호,2004,삼성,GG,KBO 골든글러브
박진만,2004,삼성,GG,KBO 골든글러브
박한이,2004,삼성,GG,KBO 골든글러브
배영수,2004,삼성,GG,KBO 골든글러브
브룸바,2004,현대,GG,KBO 골든글러브
양준혁,2004,삼성,GG,KBO 골든글러브
이병규,2004,LG,GG,KBO 골든글러브
홍성흔,2004,두산,GG,KBO 골든글러브
김재현,2005,SK,GG,KBO 골든글러브
김태균,2005,한화,GG,KBO 골든글러브
데이비스,2005,한화,GG,KBO 골든글러브
서튼,2005,현대,GG,KBO 골든글러브
손민한,2005,롯데,GG,KBO 골든글러브
손시헌,2005,두산,GG,KBO 골든글러브
안경현,2005,두산,GG,KBO 골든글러브
이범호,2005,한화,GG,KBO 골든글러브
이병규,2005,LG,GG,KBO 골든글러브
진갑용,2005,삼성,GG,KBO 골든글러브
류현진,2006,한화,GG,KBO 골든글러브
박진만,2006,삼성,GG,KBO 골든글러브
박한이,2006,삼성,GG,KBO 골든글러브
양준혁,2006,삼성,GG,KBO 골든글러브
이대호,2006,롯데,GG,KBO 골든글러브
이범호,2006,한화,GG,KBO 골든글러브
이용규,2006,KIA,GG,KBO 골든글러브
이택근,2006,현대,GG,KBO 골든글러브
정근우,2006,SK,GG,KBO 골든글러브
진갑용,2006,삼성,GG,KBO 골든글러브
고영민,2007,두산,GG,KBO 골든글러브
김동주,2007,두산,GG,KBO 골든글러브
리오스,2007,두산,GG,KBO 골든글러브
박경완,2007,SK,GG,KBO 골든글러브
박진만,2007,삼성,GG,KBO 골든글러브
심정수,2007,삼성,GG,KBO 골든글러브
양준혁,2007,삼성,GG,KBO 골든글러브
이대형,2007,LG,GG,KBO 골든글러브
이대호,2007,롯데,GG,KBO 골든글러브
이종욱,2007,두산,GG,KBO 골든글러브
가르시아,2008,롯데,GG,KBO 골든글러브
강민호,2008,롯데,GG,KBO 골든글러브
김광현,2008,SK,GG,KBO 골든글러브
김동주,2008,두산,GG,KBO 골든글러브
김태균,2008,한화,GG,KBO 골든글러브
김현수,2008,두산,GG,KBO 골든글러브
박기혁,2008,롯데,GG,KBO 골든글러브
이종욱,2008,두산,GG,KBO 골든글러브
조성환,2008,롯데,GG,KBO 골든글러브
홍성흔,2008,롯데,GG,KBO 골든글러브
김상현,2009,KIA,GG,KBO 골든글러브
김상훈,2009,KIA,GG,KBO 골든글러브
김현수,2009,두산,GG,KBO 골든글러브
로페즈,2009,KIA,GG,KBO 골든글러브
박용택,2009,LG,GG,KBO 골든글러브
손시헌,2009,두산,GG,KBO 골든글러브
