player_name,year,team,award,source,position
조병현,2023,,NT,2023 APBC (수기),우투수
정해영,2023,,NT,2023 APBC (수기),우투수
신민혁,2023,,NT,2023 APBC (수기),우투수
원태인,2023,,NT,2023 APBC (수기),우투수
최준용,2023,,NT,2023 APBC (수기),우투수
곽빈,2023,,NT,2023 APBC (수기),우투수
문동주,2023,,NT,2023 APBC (수기),우투수
오원석,2023,,NT,2023 APBC (수기),좌투수
이의리,2023,,NT,2023 APBC (수기),좌투수
최지민,2023,,NT,2023 APBC (수기),좌투수
김영규,2023,,NT,2023 APBC (수기),좌투수
최승용,2023,,NT,2023 APBC (수기),좌투수
김동헌,2023,,NT,2023 APBC (수기),포수
김형준,2023,,NT,2023 APBC (수기),포수
손성빈,2023,,NT,2023 APBC (수기),포수
김혜성,2023,,NT,2023 APBC (수기),내야수
김휘집,2023,,NT,2023 APBC (수기),내야수
김도영,2023,,NT,2023 APBC (수기),내야수
김주원,2023,,NT,2023 APBC (수기),내야수
나승엽,2023,,NT,2023 APBC (수기),내야수
노시환,2023,,NT,2023 APBC (수기),내야수
문현빈,2023,,NT,2023 APBC (수기),내야수
최지훈,2023,,NT,2023 APBC (수기),외야수
김성윤,2023,,NT,2023 APBC (수기),외야수
윤동희,2023,,NT,2023 APBC (수기),외야수
박승규,2023,,NT,2023 APBC (수기),외야수
