ranking,playerId,playerName,playerImageUrl,weight,height,backNumber,isRetire,isPlayer,osId,profile,enable,teamId,teamName,teamShortName,teamImageUrl,seasonId,year,upperCategoryId,categoryId,league,division,hitterHra,hitterRbi,hitterRun,hitterHr,hitterHit,hitterH2,hitterH3,hitterGameCount,hitterAb,hitterSb,hitterCs,hitterBb,hitterHp,hitterKk,hitterGd,hitterObp,hitterSlg,hitterOps,hitterIsop,hitterBabip,hitterWoba,hitterWrcPlus,hitterWpa,hitterWar,isQualified,isKoreanPlayer,collect_year,sort_source
1.0,71564,이대호,https://sports-phinf.pstatic.net/player/kbo/default/71564.png,130,194,10,Y,Y,96820,"{""name"":""이대호"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/2eda834c-d1bb-4952-9c7f-d1e0c8d08351.jpg"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""전 야구선수""],""viewName"":"""",""keyword"":""이대호"",""os"":96820}",Y,LT,롯데,롯데,https://sports-phinf.pstatic.net/team/kbo/default/LT.png?type=f92_88,2010,2010,kbaseball,kbo,,,0.36401673640167365,133,99,44,174,13,0,127,478,0,,61,10,77,,0.444,0.667,1.111,0.30300000000000005,0.361,0.473,0.0,0.0,0.0,True,False,2010,hitterWar
2.0,99222,홍성흔,https://sports-phinf.pstatic.net/player/kbo/default/99222.png,96,180,22,Y,Y,95211,"{""name"":""홍성흔"",""image"":""https://ssl.pstatic.net/sstatic/people/167/20220607150729531.jpg"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구코치"",""전 야구선수""],""viewName"":"""",""keyword"":""홍성흔"",""os"":95211}",Y,LT,롯데,롯데,https://sports-phinf.pstatic.net/team/kbo/default/LT.png?type=f92_88,2010,2010,kbaseball,kbo,,,0.3503480278422274,116,88,26,151,28,1,111,431,2,,54,7,49,,0.427,0.601,1.028,0.251,0.346,0.437,0.0,0.0,0.0,True,False,2010,hitterWar
3.0,99543,조성환,https://sports-phinf.pstatic.net/player/kbo/default/99543.png,83,180,2,Y,Y,96804,"{""name"":""조성환"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/339fdf3d-bfc4-4bc9-8297-b45926badc30.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""전 야구코치"",""전 야구선수""],""viewName"":""조성환, Cho Sung Hwan"",""keyword"":""조성환"",""os"":96804}",Y,LT,롯데,롯데,https://sports-phinf.pstatic.net/team/kbo/default/LT.png?type=f92_88,2010,2010,kbaseball,kbo,,,0.3357487922705314,52,83,8,139,31,0,111,414,8,,35,4,58,,0.39,0.469,0.859,0.13299999999999995,0.373,0.383,0.0,0.0,0.0,True,False,2010,hitterWar
4.0,99810,이진영,https://sports-phinf.pstatic.net/player/kbo/default/99810.png,90,185,35,Y,Y,96954,"{""name"":""이진영"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/2546bc0f-d3c8-4b1a-ac0a-c9c952809282.png"",""teamName"":""두산 베어스"",""teamCode"":""OB"",""position"":"""",""backNumber"":""75"",""retire"":null,""job"":[""야구코치"",""전 야구선수""],""viewName"":"""",""keyword"":""이진영"",""os"":96954}",Y,LG,LG,LG,https://sports-phinf.pstatic.net/team/kbo/default/LG.png?type=f92_88,2010,2010,kbaseball,kbo,,,0.3306878306878307,50,56,7,125,28,0,104,378,10,,32,1,40,,0.381,0.46,0.841,0.129,0.352,0.376,0.0,0.0,0.0,True,False,2010,hitterWar
5.0,71552,최준석,https://sports-phinf.pstatic.net/player/kbo/default/71552.png,130,187,60,Y,Y,96822,"{""name"":""최준석"",""image"":""https://ssl.pstatic.net/sstatic/people/portrait/202204/20220411154214464.jpg"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""전 야구선수""],""viewName"":"""",""keyword"":""최준석"",""os"":96822}",Y,OB,두산,두산,https://sports-phinf.pstatic.net/team/kbo/default/OB.png?type=f92_88,2010,2010,kbaseball,kbo,,,0.32075471698113206,82,63,22,136,26,1,127,424,0,,50,5,83,,0.397,0.542,0.939,0.22100000000000003,0.355,0.408,0.0,0.0,0.0,True,False,2010,hitterWar
6.0,98144,조인성,https://sports-phinf.pstatic.net/player/kbo/default/98144.png,99,183,44,Y,Y,96927,"{""name"":""조인성"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/f092583c-5a38-4fbc-ae90-80d4a342821e.png"",""teamName"":""두산 베어스"",""teamCode"":""OB"",""position"":"""",""backNumber"":""74"",""retire"":null,""job"":[""야구코치"",""전 야구선수""],""viewName"":"""",""keyword"":""조인성"",""os"":96927}",Y,LG,LG,LG,https://sports-phinf.pstatic.net/team/kbo/default/LG.png?type=f92_88,2010,2010,kbaseball,kbo,,,0.3172866520787746,107,69,28,145,24,1,133,457,2,,41,3,83,,0.374,0.558,0.932,0.24100000000000005,0.333,0.394,0.0,0.0,0.0,True,False,2010,hitterWar
7.0,76290,김현수,https://sports-phinf.pstatic.net/player/kbo/default/76290.png,105,188,10,N,Y,154465,"{""name"":""김현수"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/b3342e7c-a43b-4932-b9be-17fbdcb97f30.png"",""teamName"":""kt wiz"",""teamCode"":""KT"",""position"":""외야수"",""backNumber"":""10"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""김현수"",""os"":154465}",Y,OB,두산,두산,https://sports-phinf.pstatic.net/team/kbo/default/OB.png?type=f92_88,2010,2010,kbaseball,kbo,,,0.3171247357293869,89,88,24,150,29,0,132,473,4,,78,6,64,,0.414,0.531,0.945,0.21400000000000002,0.321,0.405,0.0,0.0,0.0,True,False,2010,hitterWar
8.0,71837,김강민,https://sports-phinf.pstatic.net/player/kbo/default/71837.png,87,182,0,Y,Y,96939,"{""name"":""김강민"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/3cef3a58-202f-4f02-a356-8e9426b1f00a.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""전 야구선수"",""스포츠해설가""],""viewName"":"""",""keyword"":""김강민"",""os"":96939}",Y,SK,SK,SK,https://sports-phinf.pstatic.net/team/kbo/default/SK.png?type=f92_88,2010,2010,kbaseball,kbo,,,0.3167082294264339,72,74,10,127,19,2,115,401,23,,33,2,51,,0.369,0.449,0.818,0.132,0.341,0.361,0.0,0.0,0.0,True,False,2010,hitterWar
9.0,73339,이종욱,https://sports-phinf.pstatic.net/player/kbo/default/73339.png,78,176,39,Y,Y,96900,"{""name"":""이종욱"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/3913fd45-94c2-40b2-a42e-e16ece7d5017.png"",""teamName"":""삼성 라이온즈"",""teamCode"":""SS"",""position"":"""",""backNumber"":""93"",""retire"":null,""job"":[""야구코치"",""전 야구선수""],""viewName"":"""",""keyword"":""이종욱"",""os"":96900}",Y,OB,두산,두산,https://sports-phinf.pstatic.net/team/kbo/default/OB.png?type=f92_88,2010,2010,kbaseball,kbo,,,0.31234866828087166,45,66,5,129,16,2,114,413,30,,45,4,46,,0.383,0.397,0.78,0.08500000000000002,0.34,0.352,0.0,0.0,0.0,True,False,2010,hitterWar
10.0,74163,이용규,https://sports-phinf.pstatic.net/player/kbo/default/74163.png,74,170,15,N,Y,98874,"{""name"":""이용규"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/557a1776-8798-4442-9a2b-02b273f055b3.png"",""teamName"":""키움 히어로즈"",""teamCode"":""WO"",""position"":""외야수"",""backNumber"":""15"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""이용규"",""os"":98874}",Y,HT,KIA,KIA,https://sports-phinf.pstatic.net/team/kbo/default/HT.png?type=f92_88,2010,2010,kbaseball,kbo,,,0.3072033898305085,51,74,3,145,19,1,129,472,25,,64,9,50,,0.398,0.371,0.769,0.064,0.336,0.359,0.0,0.0,0.0,True,False,2010,hitterWar
