ranking,playerId,playerName,playerImageUrl,weight,height,backNumber,isRetire,isPlayer,osId,profile,enable,teamId,teamName,teamShortName,teamImageUrl,seasonId,year,upperCategoryId,categoryId,league,division,hitterHra,hitterRbi,hitterRun,hitterHr,hitterHit,hitterH2,hitterH3,hitterGameCount,hitterAb,hitterSb,hitterCs,hitterBb,hitterHp,hitterKk,hitterGd,hitterObp,hitterSlg,hitterOps,hitterIsop,hitterBabip,hitterWoba,hitterWrcPlus,hitterWpa,hitterWar,isQualified,isKoreanPlayer,collect_year,sort_source
1.0,75125,박병호,https://sports-phinf.pstatic.net/player/kbo/default/75125.png,107,185,52,Y,Y,104972,"{""name"":""박병호"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/793a04f8-38e8-4461-8056-71ef031a6db5.png"",""teamName"":""키움 히어로즈"",""teamCode"":""WO"",""position"":"""",""backNumber"":""52"",""retire"":null,""job"":[""야구코치"",""전 야구선수""],""viewName"":"""",""keyword"":""박병호"",""os"":104972}",Y,WO,넥센,넥센,https://sports-phinf.pstatic.net/team/kbo/default/WO.png?type=f92_88,2013,2013,kbaseball,kbo,,,0.31777777777777777,117,91,37,143,17,0,128,450,10,,92,8,96,,0.437,0.602,1.039,0.284,0.328,0.446,0.0,0.0,0.0,True,False,2013,hitterOps
2.0,75847,최정,https://sports-phinf.pstatic.net/player/kbo/default/75847.png,90,180,14,N,Y,123824,"{""name"":""최정"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/f39d4bd6-58f4-4f0b-8b46-bb9121ce7d5a.png"",""teamName"":""SSG 랜더스"",""teamCode"":""SK"",""position"":""내야수"",""backNumber"":""14"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""최정"",""os"":123824}",Y,SK,SK,SK,https://sports-phinf.pstatic.net/team/kbo/default/SK.png?type=f92_88,2013,2013,kbaseball,kbo,,,0.315668202764977,83,75,28,137,18,0,120,434,24,,64,24,109,,0.429,0.551,0.98,0.23500000000000004,0.365,0.427,0.0,0.0,0.0,True,False,2013,hitterOps
3.0,74465,박석민,https://sports-phinf.pstatic.net/player/kbo/default/74465.png,88,178,18,Y,Y,98848,"{""name"":""박석민"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/bd10b97b-00d2-4d08-8d43-877565e0b9e7.png"",""teamName"":""삼성 라이온즈"",""teamCode"":""SS"",""position"":"""",""backNumber"":""88"",""retire"":null,""job"":[""야구코치"",""전 야구선수""],""viewName"":"""",""keyword"":""박석민"",""os"":98848}",Y,SS,삼성,삼성,https://sports-phinf.pstatic.net/team/kbo/default/SS.png?type=f92_88,2013,2013,kbaseball,kbo,,,0.3181818181818182,76,61,18,126,24,0,117,396,4,,54,21,73,,0.425,0.515,0.94,0.197,0.352,0.423,0.0,0.0,0.0,True,False,2013,hitterOps
4.0,71752,김태균,https://sports-phinf.pstatic.net/player/kbo/default/71752.png,110,185,52,Y,Y,96874,"{""name"":""김태균"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/9012318f-4c4d-49ef-9505-0f5be7758bb3.jpg"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""전 야구선수""],""viewName"":"""",""keyword"":""김태균"",""os"":96874}",Y,HH,한화,한화,https://sports-phinf.pstatic.net/team/kbo/default/HH.png?type=f92_88,2013,2013,kbaseball,kbo,,,0.3188405797101449,52,41,10,110,24,0,101,345,0,,73,8,67,,0.444,0.475,0.919,0.15599999999999997,0.368,0.409,0.0,0.0,0.0,True,False,2013,hitterOps
5.0,72443,최형우,https://sports-phinf.pstatic.net/player/kbo/default/72443.png,106,180,34,N,Y,96843,"{""name"":""최형우"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/2a66c973-47a0-4d3d-92c1-e6d1da56ee3d.png"",""teamName"":""삼성 라이온즈"",""teamCode"":""SS"",""position"":""외야수"",""backNumber"":""34"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""최형우"",""os"":96843}",Y,SS,삼성,삼성,https://sports-phinf.pstatic.net/team/kbo/default/SS.png?type=f92_88,2013,2013,kbaseball,kbo,,,0.30528375733855184,98,80,29,156,28,0,128,511,2,,47,7,91,,0.366,0.53,0.896,0.22500000000000003,0.318,0.389,0.0,0.0,0.0,True,False,2013,hitterOps
6.0,74846,박정권,https://sports-phinf.pstatic.net/player/kbo/default/74846.png,96,187,36,Y,Y,98878,"{""name"":""박정권"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/1d0f430d-c872-4e20-a61c-9ddf57bf2372.png"",""teamName"":""SSG 랜더스"",""teamCode"":""SK"",""position"":"""",""backNumber"":""76"",""retire"":null,""job"":[""야구감독"",""전 야구선수""],""viewName"":"""",""keyword"":""박정권"",""os"":98878}",Y,SK,SK,SK,https://sports-phinf.pstatic.net/team/kbo/default/SK.png?type=f92_88,2013,2013,kbaseball,kbo,,,0.29201101928374656,70,56,18,106,20,1,110,363,4,,64,1,79,,0.394,0.501,0.895,0.20900000000000002,0.324,0.391,0.0,0.0,0.0,True,False,2013,hitterOps
6.0,77532,손아섭,https://sports-phinf.pstatic.net/player/kbo/default/77532.png,84,174,8,N,Y,111014,"{""name"":""손아섭"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/db34f1fa-9f19-456e-8278-324ef97ea645.png"",""teamName"":""두산 베어스"",""teamCode"":""OB"",""position"":""외야수"",""backNumber"":""8"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""손아섭"",""os"":111014}",Y,LT,롯데,롯데,https://sports-phinf.pstatic.net/team/kbo/default/LT.png?type=f92_88,2013,2013,kbaseball,kbo,,,0.3453815261044177,69,83,11,172,23,4,128,498,36,,64,3,88,,0.421,0.474,0.895,0.129,0.4,0.401,0.0,0.0,0.0,True,False,2013,hitterOps
8.0,76325,강정호,https://sports-phinf.pstatic.net/player/kbo/default/76325.png,96,183,16,N,Y,,,Y,WO,넥센,넥센,https://sports-phinf.pstatic.net/team/kbo/default/WO.png?type=f92_88,2013,2013,kbaseball,kbo,,,0.2911111111111111,96,67,22,131,21,1,126,450,15,,68,6,109,,0.387,0.489,0.876,0.198,0.335,0.382,0.0,0.0,0.0,True,False,2013,hitterOps
9.0,78629,나지완,https://sports-phinf.pstatic.net/player/kbo/default/78629.png,105,182,29,Y,Y,153601,"{""name"":""나지완"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/62a0edb3-effb-48ad-b720-4b6817041fac.jpg"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""스포츠해설가"",""전 야구선수""],""viewName"":"""",""keyword"":""나지완"",""os"":153601}",Y,HT,KIA,KIA,https://sports-phinf.pstatic.net/team/kbo/default/HT.png?type=f92_88,2013,2013,kbaseball,kbo,,,0.28735632183908044,96,57,21,125,18,0,125,435,7,,62,18,111,,0.394,0.474,0.868,0.187,0.338,0.389,0.0,0.0,0.0,True,False,2013,hitterOps
10.0,76249,민병헌,https://sports-phinf.pstatic.net/player/kbo/default/76249.png,87,178,3,Y,Y,124565,"{""name"":""민병헌"",""image"":""https://ssl.pstatic.net/sstatic/people/20/202103301953179611.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""전 야구선수""],""viewName"":"""",""keyword"":""민병헌"",""os"":124565}",Y,OB,두산,두산,https://sports-phinf.pstatic.net/team/kbo/default/OB.png?type=f92_88,2013,2013,kbaseball,kbo,,,0.3185378590078329,65,71,9,122,21,7,119,383,27,,40,7,62,,0.387,0.48,0.867,0.16099999999999998,0.354,0.372,0.0,0.0,0.0,True,False,2013,hitterOps
