collect_year,player_id,player_name,team,position,is_qualified,innings,games,era,whip,win,lose,save,hold,qs,so,bb,hbp,hit,hr,r,er,k9,bb9,k_bb,pa_k_rate,pa_bb_rate,wpa,war,ip_per_game,pitcher_role,season_completion
2020,50640,가뇽,KIA,,True,159.667,28,4.34029,1.42,11,8,0,0,13,141,64,9,162,7,86,77,7.95,3.61,2.2,20.1,9.1,1.595,2.97,5.702,SP,1.0
2010,92501,가득염,SK,,False,16.333,21,4.40816,1.47,0,0,0,1,0,12,10,0,14,1,9,8,6.61,5.51,1.2,16.9,14.1,0.0,,0.778,RP,1.0
2025,55460,가라비토,삼성,투수,False,78.333,15,2.6425531914893616,1.19,4,4,0,0,4,84,37,6,56,6,31,23,9.65,4.25,2.27,25.7,11.3,1.139,1.85,5.222,SP,1.0
2021,51833,가빌리오,SSG,,False,81.333,15,5.86475,1.45,6,4,0,0,5,70,30,6,88,7,54,53,7.75,3.32,2.33,19.9,8.5,0.263,0.67,5.422,SP,1.0
2025,55532,감보아,롯데,,False,108.0,19,3.583333333333333,1.35,7,8,0,0,11,117,49,4,97,6,54,43,9.75,4.08,2.39,24.6,10.3,1.644,2.07,5.684,SP,1.0
2023,53006,강건,KT,투수,False,6.667,4,1.35,1.05,0,0,1,0,0,8,3,0,4,0,1,1,10.8,4.05,2.67,28.6,10.7,-0.078,0.19,1.667,RP,1.0
2024,53006,강건,KT,투수,False,4.0,4,11.25,3.0,0,1,0,0,0,3,4,1,8,1,5,5,6.75,9.0,0.75,12.5,16.7,-0.331,-0.13,1.0,RP,1.0
2025,53006,강건,KT,투수,False,3.667,2,24.545454545454547,3.82,0,1,0,0,0,1,7,1,7,1,10,10,2.45,17.18,0.14,3.8,26.9,-0.227,-0.28,1.834,RP,1.0
2026,56769,강건우,한화,투수,False,13.333,10,8.1,2.78,0,0,0,0,0,11,12,1,25,2,13,12,7.43,8.1,0.92,13.9,15.2,-0.289,-0.21,1.333,RP,0.757
2021,61700,강경학,KIA,,False,0.667,1,54.0,7.5,0,0,0,0,0,0,2,1,3,0,4,4,0.0,27.0,0.0,0.0,25.0,0.0,0.0,0.667,RP,1.0
2013,61295,강동연,두산,,False,2.0,1,0.0,0.5,0,0,0,0,0,1,0,0,1,0,1,0,4.5,0.0,99.99,14.3,0.0,0.0,,2.0,RP,1.0
2014,61295,강동연,두산,,False,1.0,1,27.0,5.0,0,0,0,0,0,3,0,0,5,1,3,3,27.0,0.0,99.99,37.5,0.0,-0.007,-0.01,1.0,RP,1.0
2016,61295,강동연,두산,,False,7.667,11,8.21739,1.96,0,0,0,0,0,6,6,0,9,2,8,7,7.04,7.04,1.0,16.7,16.7,-0.052,-0.19,0.697,RP,1.0
2018,61295,강동연,두산,,False,11.667,8,5.4,1.29,1,0,0,0,0,5,5,0,10,2,8,7,3.86,3.86,1.0,10.2,10.2,0.037,-0.15,1.458,RP,1.0
2019,61295,강동연,두산,,False,5.0,5,5.4,1.6,0,0,0,0,0,3,0,0,8,2,3,3,5.4,0.0,99.99,13.6,0.0,-0.145,-0.13,1.0,RP,1.0
2020,61295,강동연,NC,,False,24.0,22,6.0,1.58,1,2,0,1,0,17,11,1,27,3,17,16,6.38,4.13,1.55,16.0,10.4,-0.501,-0.02,1.091,RP,1.0
2021,61295,강동연,NC,,False,23.0,12,7.82609,1.7,3,2,0,1,0,14,14,0,25,4,21,20,5.48,5.48,1.0,12.8,12.8,-0.917,-0.4,1.917,RP,1.0
2022,61295,강동연,NC,,False,8.667,6,10.3846,2.19,0,0,0,0,0,3,3,1,16,2,10,10,3.12,3.12,1.0,6.8,6.8,-0.029,-0.25,1.444,RP,1.0
2017,67591,강동호,롯데,,False,41.333,27,4.79032,1.43,2,1,0,0,0,26,16,1,43,8,24,22,5.66,3.48,1.63,14.6,9.0,0.534,0.2,1.531,RP,1.0
2020,67591,강동호,롯데,,False,11.0,7,7.36364,1.73,1,0,0,0,0,8,6,0,13,3,9,9,6.55,4.91,1.33,15.7,11.8,0.135,-0.18,1.571,RP,1.0
2021,67591,강동호,롯데,,False,1.333,1,6.75,1.5,0,0,0,0,0,1,1,1,1,0,1,1,6.75,6.75,1.0,14.3,14.3,0.003,-0.01,1.333,RP,1.0
2019,68050,강백호,KT,내야수,False,1.0,1,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,9.0,0.0,0.0,25.0,0.05,0.0,1.0,RP,1.0
2025,68050,강백호,KT,내야수,False,1.0,1,18.0,4.0,0,0,0,0,0,1,1,0,3,1,2,2,9.0,9.0,1.0,14.3,14.3,0.054,0.0,1.0,RP,1.0
2013,78552,강승현,롯데,,False,2.0,2,9.0,2.0,0,1,0,0,0,2,1,0,3,0,3,2,9.0,4.5,2.0,20.0,10.0,0.0,,1.0,RP,1.0
2014,78552,강승현,롯데,,False,5.667,3,25.4118,3.53,0,0,0,0,0,3,2,0,18,2,19,16,4.76,3.18,1.5,8.1,5.4,-0.335,-0.05,1.889,RP,1.0
