collect_year,playerId,playerName,teamName,isRetire,isPlayer,pitcherGameCount,pitcherInning,pitcherEra,pitcherWhip,pitcherWin,pitcherLose,pitcherSave,pitcherHold,pitcherHit,pitcherWar,sort_source
2015,77637,양현종,KIA,N,Y,32,184 1/3,2.44123,1.24,15,6,0,1,150,6.46,pitcherWar
2015,71845,채병용,SK,Y,Y,33,83,6.07229,1.5699999999999998,4,4,0,1,103,-0.07,pitcherInning
2015,73248,김승회,롯데,Y,Y,39,75,6.24,1.65,7,3,2,2,96,0.27,pitcherWin
2015,63810,세든,SK,N,Y,14,74,4.98649,1.42,7,5,0,0,77,0.85,pitcherWin
2015,99314,송신영,넥센,Y,Y,18,69,5.34783,1.43,7,4,0,0,77,0.77,pitcherWin
2015,63248,함덕주,두산,N,Y,68,61 2/3,3.64865,1.59,7,2,2,16,52,0.77,pitcherWin
2015,61365,김대우,넥센,N,Y,47,71,4.94366,1.58,6,3,1,4,81,0.43,pitcherWin
2015,77147,봉중근,LG,Y,Y,47,49 1/3,4.92568,1.6800000000000002,5,2,15,0,60,-0.55,pitcherWin
2015,62966,최금강,NC,N,Y,78,89 2/3,3.71375,1.27,6,5,1,14,77,0.47,pitcherInning
2015,78352,임창민,NC,Y,Y,61,64,3.79688,1.22,1,5,31,0,57,1.11,pitcherSave
2015,72862,윤길현,SK,N,Y,70,62 2/3,3.15957,1.5,0,4,13,17,58,1.07,pitcherSave
2015,62242,윤명준,두산,Y,Y,60,68,3.97059,1.5,4,6,6,7,72,0.41,pitcherSave
2015,75867,김진성,NC,N,Y,59,66,4.5,1.17,3,4,5,12,59,0.1,pitcherSave
2015,74167,심수창,롯데,Y,Y,39,73 1/3,6.01364,1.75,4,6,5,3,99,0.38,pitcherSave
2015,73211,노경은,두산,N,Y,47,58 1/3,4.47429,1.61,1,4,4,0,57,-0.02,pitcherSave
2015,73801,송은범,한화,N,Y,33,70 1/3,7.03791,1.89,2,9,4,1,103,0.09,pitcherSave
2015,71118,이동현,LG,N,Y,60,59 1/3,4.39888,1.43,5,5,4,11,65,0.19,pitcherSave
2015,75321,손승락,넥센,Y,Y,58,61 1/3,3.81522,1.4,4,6,23,0,73,1.03,pitcherSave
2015,76350,김세현,넥센,N,Y,57,90 1/3,4.38376,1.31,4,5,0,6,90,1.06,pitcherInning
2015,60336,문성현,넥센,Y,Y,34,91 2/3,6.28364,1.67,0,5,0,1,114,-0.06,pitcherInning
2015,65219,스와잭,두산,N,Y,20,92 1/3,5.26354,1.52,5,7,0,1,110,1.07,pitcherInning
2015,60342,정회찬,넥센,N,Y,1,1,9.0,3.0,0,0,0,0,2,-0.04,pitcherWhip
2015,79235,조승수,두산,N,Y,1,1,9.0,3.0,0,0,0,0,2,-0.05,pitcherWhip
2015,64718,최설우,한화,N,Y,1,1 1/3,0.0,3.0,0,0,0,0,2,-0.03,pitcherWhip
2015,62463,이준형,LG,N,Y,4,5 2/3,6.35294,2.82,0,2,0,0,7,-0.22,pitcherWhip
2015,77566,이재곤,롯데,N,Y,5,13,6.23077,2.54,0,2,0,0,15,-0.02,pitcherWhip
2015,72321,배힘찬,넥센,N,Y,7,6 2/3,6.75,2.4,0,1,0,0,10,-0.12,pitcherWhip
