player_name,player_id,birth_year,source,confidence,matched_title
최지훈,50854,1997,wikidata,단일 후보,
김호령,65653,1992,wikidata,단일 후보,
김주원,51907,2002,wikidata,소속팀 일치,
홍창기,66108,1993,wikidata,단일 후보,
구자욱,62404,1993,wikidata,단일 후보,
박승욱,62802,1992,wikidata,단일 후보,
김민혁,64004,1995,wikidata,소속팀 일치,
배정대,64166,1995,wikidata,단일 후보,
오윤석,64504,1992,wikidata,단일 후보,
권희동,63963,1990,wikidata,단일 후보,
한유섬,62895,1989,wikidata,단일 후보,
문승원,62869,1989,wikidata,단일 후보,
박치국,67266,1998,wikidata,단일 후보,
김민수,65048,1992,wikidata,소속팀 일치,
류진욱,65949,1996,wikidata,단일 후보,
나균안,67539,1998,wikidata,단일 후보,
원태인,69446,2000,wikidata,단일 후보,
안우진,68341,1999,wikidata,단일 후보,
서진용,61895,1992,wikidata,단일 후보,
신민혁,68902,1999,wikidata,단일 후보,
이창진,64560,1991,wikidata,단일 후보,
김민혁,65269,1996,wikidata,소속팀 일치,
김재열,64580,1996,wikidata,단일 후보,
문상철,64007,1991,wikidata,단일 후보,
박종훈,60841,1991,wikidata,단일 후보,
최동환,79140,1989,wikidata,단일 후보,
박성한,67893,1998,wikidata,단일 후보,
김도영,52605,2003,wikidata,단일 후보,
정준재,54812,2003,wikidata,단일 후보,
김지찬,50458,2001,wikidata,단일 후보,
문현빈,53764,2004,wikidata,단일 후보,
전민재,68205,1999,wikidata,단일 후보,
구본혁,69100,1997,wikidata,단일 후보,
김건희,53312,2004,wikidata,단일 후보,
박재현,55636,2006,wikidata,단일 후보,
손성빈,51528,2002,wikidata,단일 후보,
김민석,53554,2004,wikidata,단일 후보,
노시환,69737,2000,wikidata,단일 후보,
이도윤,65703,1996,wikidata,단일 후보,
이우성,63260,1994,wikidata,단일 후보,
허인서,52764,2003,wikidata,단일 후보,
정현창,55926,2006,wikidata,단일 후보,
김태연,66704,1997,wikidata,단일 후보,
한준수,68646,1999,wikidata,단일 후보,
김규성,66614,1997,wikidata,단일 후보,
권동진,51003,1998,wikidata,단일 후보,
김성윤,67449,1999,wikidata,소속팀 일치,
황성빈,50500,1997,wikidata,단일 후보,
송찬의,68110,1999,wikidata,단일 후보,
조형우,51865,2002,wikidata,단일 후보,
최정원,69992,2000,wikidata,단일 후보,
문보경,69102,2000,wikidata,단일 후보,
윤준호,53296,2000,wikidata,단일 후보,
천성호,50054,1997,wikidata,단일 후보,
이유찬,67207,1998,wikidata,단일 후보,
권혁빈,55371,2005,wikidata,단일 후보,
박정우,67609,1998,wikidata,단일 후보,
강승호,63123,1994,wikidata,단일 후보,
고승민,69517,2000,wikidata,단일 후보,
안재석,51203,2002,wikidata,단일 후보,
박민,50657,2001,wikidata,단일 후보,
박승규,69418,2000,wikidata,단일 후보,
임병욱,64346,1995,wikidata,단일 후보,
한동희,68525,1999,wikidata,단일 후보,
문성주,68119,1997,wikidata,단일 후보,
천재환,67905,1994,wikidata,단일 후보,
도태훈,66965,1993,wikidata,단일 후보,
박찬혁,52348,2003,wikidata,단일 후보,
장두성,68507,1999,wikidata,단일 후보,
김웅빈,65898,1996,wikidata,단일 후보,
나승엽,51551,2002,wikidata,단일 후보,
손호영,50150,1994,wikidata,단일 후보,
김한별,50902,2001,wikidata,단일 후보,
윤동희,52591,2003,wikidata,단일 후보,
양우현,69403,2000,wikidata,단일 후보,
장준원,64115,1995,wikidata,단일 후보,
홍대인,55897,2001,wikidata,단일 후보,
채현우,69804,1995,wikidata,단일 후보,
한석현,64101,1994,wikidata,단일 후보,
류현인,53036,2000,wikidata,단일 후보,
김민,68043,1999,wikidata,단일 후보,
이재현,52415,2003,wikidata,단일 후보,
조동욱,54768,2004,wikidata,단일 후보,
한태양,52568,2003,wikidata,단일 후보,
이영빈,51100,2002,wikidata,단일 후보,
황영묵,54795,1999,wikidata,단일 후보,
문정빈,52121,2003,wikidata,단일 후보,
안중열,64022,1995,wikidata,단일 후보,
오명진,50208,2001,wikidata,단일 후보,
이승민,50464,2000,wikidata,소속팀 일치,
안현민,52001,2003,wikidata,단일 후보,
우강훈,51526,2002,wikidata,단일 후보,
이주헌,52154,2003,wikidata,단일 후보,
전의산,50820,2000,wikidata,단일 후보,
김세민,52514,2003,wikidata,단일 후보,
서호철,69995,1996,wikidata,단일 후보,
여동욱,55393,2005,wikidata,단일 후보,
김도환,69442,2000,wikidata,소속팀 일치,
김범수,65769,1995,wikidata,단일 후보,
김재윤,65062,1990,wikidata,단일 후보,
이병헌,52204,2003,wikidata,소속팀 일치,
이승현,60146,1991,wikidata,단일 후보,
임지민,52902,2003,wikidata,단일 후보,
전사민,69969,1999,wikidata,단일 후보,
전용주,69047,2000,wikidata,단일 후보,
조상우,63342,1994,wikidata,단일 후보,
김정우,68830,1999,wikidata,단일 후보,
이진영,66657,1997,wikidata,단일 후보,
김휘집,51344,2002,wikidata,단일 후보,
박주홍,50357,2001,wikidata,소속팀 일치,
손동현,69041,2001,wikidata,단일 후보,
신재인,56909,2007,wikidata,단일 후보,
최준용,50556,2001,wikidata,단일 후보,
추재현,68362,1999,wikidata,단일 후보,
김진수,51154,1998,wikidata,단일 후보,
배찬승,55455,2006,wikidata,단일 후보,
이로운,53892,2004,wikidata,단일 후보,
이상규,65117,1996,wikidata,단일 후보,
박수종,52305,1999,wikidata,단일 후보,
박정현,50709,2001,wikidata,단일 후보,
조병현,51897,2002,wikidata,단일 후보,
한재승,51994,2001,wikidata,단일 후보,
현도훈,68260,1993,wikidata,단일 후보,
전영준,52809,2002,wikidata,단일 후보,
최인호,50707,2000,wikidata,단일 후보,
고명준,51868,2002,wikidata,단일 후보,
김영우,55167,2005,wikidata,단일 후보,
박영현,52060,2003,wikidata,단일 후보,
박시원,50996,2001,wikidata,단일 후보,
성영탁,54610,2004,wikidata,단일 후보,
최지민,52639,2003,wikidata,단일 후보,
정해영,50662,2001,wikidata,단일 후보,
하주석,62700,1994,wikidata,단일 후보,
배재환,64995,1995,wikidata,단일 후보,
정우주,55743,2006,wikidata,단일 후보,
박시후,50812,2001,wikidata,단일 후보,
장진혁,66706,1993,wikidata,단일 후보,
정철원,68242,1999,wikidata,단일 후보,
최원영,52103,2003,wikidata,단일 후보,
김성진,51301,1997,wikidata,소속팀 일치,
박준영,52731,2003,wikidata,소속팀 일치,
김영웅,52430,2003,wikidata,단일 후보,
김택연,54263,2005,wikidata,단일 후보,
임지열,64340,1995,wikidata,단일 후보,
한두솔,68092,1997,wikidata,단일 후보,
손주영,67143,1998,wikidata,단일 후보,
유준규,51013,2002,wikidata,단일 후보,
이건욱,64861,1995,wikidata,단일 후보,
조영건,69360,1999,wikidata,단일 후보,
박계범,64468,1996,wikidata,단일 후보,
변우혁,69727,2000,wikidata,단일 후보,
윤도현,52667,2003,wikidata,단일 후보,
조대현,68089,1999,wikidata,단일 후보,
김동헌,53344,2004,wikidata,단일 후보,
김윤식,50157,2000,wikidata,단일 후보,
류승민,53404,2004,wikidata,단일 후보,
박진형,63512,1994,wikidata,단일 후보,
신윤후,69508,1996,wikidata,단일 후보,
최준우,68868,1999,wikidata,단일 후보,
최지광,67421,1998,wikidata,단일 후보,
곽도규,53609,2004,wikidata,단일 후보,
손주환,54904,2002,wikidata,단일 후보,
어준서,55392,2006,wikidata,단일 후보,
이주형,50167,2002,wikidata,소속팀 일치,
김현준,51417,2002,wikidata,소속팀 일치,
배재준,63145,1994,wikidata,단일 후보,
오선우,69636,1996,wikidata,단일 후보,
김강현,65522,1995,wikidata,단일 후보,
박시원,55121,2006,wikidata,소속팀 일치,
왕옌청,56719,2001,wikidata,단일 후보,
윤산흠,69213,1999,wikidata,단일 후보,
이형범,62951,1994,wikidata,단일 후보,
전상현,66609,1996,wikidata,단일 후보,
최민준,68856,1999,wikidata,단일 후보,
강현우,50066,2001,wikidata,단일 후보,
곽빈,68220,1999,wikidata,단일 후보,
김건우,51867,2002,wikidata,소속팀 일치,
이정용,69134,1996,wikidata,단일 후보,
황동하,52641,2002,wikidata,단일 후보,
고영표,64001,1991,wikidata,단일 후보,
구창모,65933,1997,wikidata,단일 후보,
김진욱,51516,2002,wikidata,소속팀 일치,
이해승,69416,2000,wikidata,단일 후보,
임근우,52807,1999,wikidata,단일 후보,
하영민,64350,1995,wikidata,단일 후보,
황준서,54729,2005,wikidata,단일 후보,
김재웅,67391,1998,wikidata,단일 후보,
배동현,51761,1998,wikidata,단일 후보,
양창섭,68415,1999,wikidata,단일 후보,
오장한,51991,2002,wikidata,단일 후보,
이민석,52530,2003,wikidata,단일 후보,
이준혁,52992,2003,wikidata,단일 후보,
김태형,55610,2006,wikidata,단일 후보,
김현종,54166,2004,wikidata,단일 후보,
박신지,68249,1999,wikidata,단일 후보,
신영우,53919,2004,wikidata,단일 후보,
오원석,50859,2001,wikidata,단일 후보,
오태양,51996,2002,wikidata,단일 후보,
이의리,51648,2002,wikidata,단일 후보,
이재희,51460,2001,wikidata,단일 후보,
임정호,63959,1990,wikidata,단일 후보,
최승용,51264,2001,wikidata,단일 후보,
김동현,55502,2006,wikidata,단일 후보,
이성규,66409,1993,wikidata,단일 후보,
홍민규,55267,2006,wikidata,단일 후보,
강재민,50705,1997,wikidata,단일 후보,
김서준,55359,2003,wikidata,단일 후보,
이우찬,61145,1992,wikidata,단일 후보,
최준호,53259,2004,wikidata,단일 후보,
최지강,52206,2001,wikidata,단일 후보,
박성빈,53305,2003,wikidata,단일 후보,
소형준,50030,2001,wikidata,단일 후보,
송승기,51111,2002,wikidata,단일 후보,
김정민,53865,2004,wikidata,소속팀 일치,
김태경,50992,2001,wikidata,단일 후보,
김태훈,55995,2006,wikidata,소속팀 일치,
박준현,56318,2007,wikidata,단일 후보,
박준영,56709,2003,wikidata,소속팀 일치,
배제성,65516,1996,wikidata,단일 후보,
안치영,67006,1998,wikidata,단일 후보,
유영찬,50106,1997,wikidata,단일 후보,
전준표,54362,2005,wikidata,단일 후보,
홍민기,50596,2001,wikidata,단일 후보,
김동주,51230,2002,wikidata,단일 후보,
김서현,53754,2004,wikidata,단일 후보,
김선기,66018,1991,wikidata,단일 후보,
송명기,69962,2000,wikidata,단일 후보,
장지훈,51895,1998,wikidata,소속팀 일치,
정은원,68743,2000,wikidata,단일 후보,
주효상,66354,1997,wikidata,단일 후보,
권민규,55764,2006,wikidata,단일 후보,
김성민,67828,1994,wikidata,소속팀 일치,
김태진,64984,1995,wikidata,단일 후보,
신범수,66662,1998,wikidata,단일 후보,
정현수,54537,2001,wikidata,단일 후보,
정현우,55313,2006,wikidata,단일 후보,
주성원,69332,2000,wikidata,단일 후보,
김재혁,52424,1999,wikidata,단일 후보,
이진하,53562,2004,wikidata,단일 후보,
장규현,51762,2002,wikidata,단일 후보,
최용준,50650,2001,wikidata,단일 후보,
강민성,69064,1999,wikidata,단일 후보,
김정호,51903,1998,wikidata,단일 후보,
류효승,50868,1996,wikidata,단일 후보,
이기순,52868,2003,wikidata,단일 후보,
이호연,68504,1995,wikidata,단일 후보,
하준영,68639,1999,wikidata,단일 후보,
한지윤,55767,2006,wikidata,단일 후보,
홍현빈,67005,1997,wikidata,단일 후보,
김윤하,54319,2005,wikidata,단일 후보,
김재상,53400,2004,wikidata,단일 후보,
원성준,54307,2000,wikidata,단일 후보,
정보근,68518,1999,wikidata,단일 후보,
조세진,52516,2003,wikidata,단일 후보,
한재환,50903,2001,wikidata,단일 후보,
박세진,66047,1997,wikidata,단일 후보,
박정수,65639,1996,wikidata,단일 후보,
백승건,69839,2000,wikidata,단일 후보,
윤석원,52395,2003,wikidata,단일 후보,
이용준,51948,2002,wikidata,단일 후보,
김건국,76225,1988,wikidata,단일 후보,
김도빈,54705,2001,wikidata,단일 후보,
김도현,52844,2000,wikidata,단일 후보,
김창평,69825,2000,wikidata,단일 후보,
문동주,52701,2003,wikidata,단일 후보,
박윤성,53301,2004,wikidata,단일 후보,
이정범,67807,1998,wikidata,단일 후보,
전다민,54214,2001,wikidata,단일 후보,
전태현,55397,2006,wikidata,단일 후보,
최우석,54903,2005,wikidata,단일 후보,
홍성호,66233,1997,wikidata,단일 후보,
권광민,52769,1997,wikidata,단일 후보,
김동규,53164,2004,wikidata,단일 후보,
김유영,64596,1994,wikidata,단일 후보,
김재현,62332,1993,wikidata,소속팀 일치,
목지훈,53973,2004,wikidata,단일 후보,
성동현,68159,1999,wikidata,단일 후보,
이승헌,68529,1995,wikidata,단일 후보,
이주형,51302,2002,wikidata,소속팀 일치,
김성진,69105,2000,wikidata,소속팀 일치,
박성재,51298,2002,wikidata,소속팀 일치,
이재익,63492,1994,wikidata,단일 후보,
장재혁,50641,2001,wikidata,단일 후보,
정대선,53568,2004,wikidata,단일 후보,
최성영,66920,1997,wikidata,단일 후보,
한승주,50726,2001,wikidata,단일 후보,
김명신,67246,1993,wikidata,단일 후보,
김시훈,68928,1999,wikidata,단일 후보,
김창훈,51586,2001,wikidata,단일 후보,
문용익,67419,1995,wikidata,단일 후보,
석정우,52804,1999,wikidata,단일 후보,
오서진,55005,2006,wikidata,단일 후보,
윤준혁,50092,2001,wikidata,단일 후보,
이교훈,69205,2000,wikidata,단일 후보,
이상영,69168,2000,wikidata,단일 후보,
이정현,67048,1997,wikidata,단일 후보,
주현상,65707,1992,wikidata,단일 후보,
한차현,51058,1998,wikidata,단일 후보,
황대인,65610,1996,wikidata,단일 후보,
김연주,54368,2004,wikidata,단일 후보,
손용준,54156,2000,wikidata,단일 후보,
안인산,50901,2001,wikidata,단일 후보,
육선엽,54404,2005,wikidata,단일 후보,
이종준,50904,2001,wikidata,단일 후보,
정민규,51764,2003,wikidata,단일 후보,
홍종표,50600,2000,wikidata,단일 후보,
김대현,66145,1997,wikidata,단일 후보,
김민석,54097,2004,wikidata,단일 후보,
김범준,50710,2000,wikidata,단일 후보,
김택형,65343,1996,wikidata,단일 후보,
류현준,54219,2005,wikidata,단일 후보,
박지훈,56066,2000,wikidata,단일 후보,
양현,61268,1992,wikidata,단일 후보,
윤정빈,68463,1999,wikidata,단일 후보,
이민호,50126,2001,wikidata,소속팀 일치,
임준형,69113,2000,wikidata,단일 후보,
정준영,53058,2004,wikidata,단일 후보,
조원태,52149,2003,wikidata,단일 후보,
최충연,66451,1997,wikidata,단일 후보,
강건,53006,2004,wikidata,단일 후보,
강성우,54567,2005,wikidata,단일 후보,
강진성,62925,1993,wikidata,단일 후보,
강현구,51269,2002,wikidata,단일 후보,
고승완,54908,2001,wikidata,단일 후보,
김건형,51005,1996,wikidata,단일 후보,
김기중,51715,2002,wikidata,단일 후보,
김녹원,52995,2003,wikidata,단일 후보,
김도현,69745,2000,wikidata,단일 후보,
김동엽,66838,1990,wikidata,단일 후보,
김동현,55040,2006,wikidata,단일 후보,
김민규,54913,2001,wikidata,소속팀 일치,
김민규,68200,1999,wikidata,소속팀 일치,
김민주,54645,2002,wikidata,단일 후보,
김범준,69980,2000,wikidata,단일 후보,
김병준,52002,2003,wikidata,단일 후보,
김병휘,50304,2001,wikidata,단일 후보,
김성민,50848,1994,wikidata,소속팀 일치,
김성우,52105,2003,wikidata,단일 후보,
김성재,55216,1993,wikidata,단일 후보,
김수윤,67900,1998,wikidata,단일 후보,
김승일,50711,2001,wikidata,단일 후보,
김유성,53262,2002,wikidata,단일 후보,
김인환,66715,1994,wikidata,단일 후보,
김재성,65132,1996,wikidata,단일 후보,
김재원,55043,2006,wikidata,단일 후보,
김정엽,55646,2006,wikidata,단일 후보,
김종운,55122,2006,wikidata,단일 후보,
김주온,65411,1996,wikidata,단일 후보,
김찬형,66917,1997,wikidata,단일 후보,
김태근,69207,1996,wikidata,단일 후보,
김태윤,52803,2003,wikidata,단일 후보,
김태현,55566,1998,wikidata,단일 후보,
김태현,67956,1998,wikidata,단일 후보,
김호준,68269,1998,wikidata,단일 후보,
박관우,55164,2006,wikidata,단일 후보,
박기호,54802,2005,wikidata,단일 후보,
박명근,53139,2004,wikidata,단일 후보,
박민석,69056,2000,wikidata,소속팀 일치,
박시영,60559,1989,wikidata,단일 후보,
박영빈,50906,1997,wikidata,단일 후보,
박준영,66928,1997,wikidata,단일 후보,
박지환,54805,2005,wikidata,단일 후보,
박진우,53411,1990,wikidata,단일 후보,
박헌,55637,2006,wikidata,단일 후보,
변상권,68305,1997,wikidata,단일 후보,
소이현,67962,1999,wikidata,단일 후보,
손현기,54363,2005,wikidata,단일 후보,
송민섭,64012,1991,wikidata,단일 후보,
송성문,65357,1996,wikidata,단일 후보,
송영진,53898,2004,wikidata,단일 후보,
송재영,51594,2002,wikidata,단일 후보,
신지환,55860,2006,wikidata,단일 후보,
심재민,64017,1994,wikidata,단일 후보,
안주형,66406,1993,wikidata,단일 후보,
양도근,54408,1996,wikidata,단일 후보,
여동건,54205,2005,wikidata,단일 후보,
원상현,54063,2004,wikidata,단일 후보,
유로결,69766,2000,wikidata,단일 후보,
유승철,67640,1998,wikidata,단일 후보,
유지성,50604,2000,wikidata,단일 후보,
윤영철,53613,2004,wikidata,단일 후보,
윤중현,68619,1995,wikidata,단일 후보,
윤현,55396,2006,wikidata,단일 후보,
이강준,50036,2001,wikidata,단일 후보,
이도현,53615,2005,wikidata,단일 후보,
이상민,63960,1990,wikidata,단일 후보,
이상혁,52704,2001,wikidata,단일 후보,
이선우,55224,2000,wikidata,단일 후보,
