player_id,player_name,chosung,player_type,position,position_source,team_latest,first_year,latest_year,season_count
50640,가뇽,ㄱㄴ,pitcher,투수,추정,KIA,2020,2020,1
55460,가라비토,ㄱㄹㅂㅌ,pitcher,투수,추정,삼성,2025,2025,1
52125,가르시아,ㄱㄹㅅㅇ,hitter,야수,추정,LG,2022,2022,1
68103,가르시아,ㄱㄹㅅㅇ,hitter,야수,추정,LG,2018,2018,1
51833,가빌리오,ㄱㅂㄹㅇ,pitcher,투수,추정,SSG,2021,2021,1
55532,감보아,ㄱㅂㅇ,pitcher,투수,추정,롯데,2025,2025,1
53006,강건,ㄱㄱ,pitcher,투수,추정,KT,2023,2025,3
56769,강건우,ㄱㄱㅇ,pitcher,투수,추정,한화,2026,2026,1
61700,강경학,ㄱㄱㅎ,hitter,야수,추정,KIA,2014,2021,8
62917,강구성,ㄱㄱㅅ,hitter,야수,추정,NC,2013,2018,5
61295,강동연,ㄱㄷㅇ,pitcher,투수,추정,NC,2013,2022,8
98420,강동우,ㄱㄷㅇ,hitter,야수,추정,한화,2013,2013,1
67591,강동호,ㄱㄷㅎ,pitcher,투수,추정,롯데,2017,2021,3
65515,강로한,ㄱㄹㅎ,hitter,야수,추정,롯데,2015,2022,5
73409,강명구,ㄱㅁㄱ,hitter,야수,추정,삼성,2013,2014,2
64906,강민국,ㄱㅁㄱ,hitter,야수,추정,키움,2014,2022,8
53103,강민균,ㄱㅁㄱ,hitter,내야수,네이버,LG,2026,2026,1
69064,강민성,ㄱㅁㅅ,hitter,내야수,네이버,KT,2023,2026,4
74540,강민호,ㄱㅁㅎ,hitter,포수,네이버,삼성,2013,2026,14
68050,강백호,ㄱㅂㅎ,hitter,내야수,네이버,한화,2018,2026,9
61108,강병의,ㄱㅂㅇ,hitter,야수,추정,LG,2015,2015,1
70224,강봉규,ㄱㅂㄱ,hitter,야수,추정,삼성,2013,2015,2
66710,강상원,ㄱㅅㅇ,hitter,야수,추정,한화,2017,2022,4
54567,강성우,ㄱㅅㅇ,hitter,내야수,네이버,롯데,2024,2025,2
54506,강승구,ㄱㅅㄱ,hitter,포수,네이버,롯데,2024,2025,2
78552,강승현,ㄱㅅㅎ,pitcher,투수,추정,한화,2013,2018,5
63123,강승호,ㄱㅅㅎ,hitter,내야수,네이버,두산,2016,2026,10
70615,강영식,ㄱㅇㅅ,pitcher,투수,추정,롯데,2013,2017,5
79358,강윤구,ㄱㅇㄱ,pitcher,투수,추정,롯데,2013,2022,9
67604,강이준,ㄱㅇㅈ,pitcher,투수,추정,KIA,2019,2019,1
64907,강장산,ㄱㅈㅅ,pitcher,투수,추정,KT,2015,2017,3
50705,강재민,ㄱㅈㅁ,pitcher,투수,추정,한화,2020,2026,6
69158,강정현,ㄱㅈㅎ,pitcher,투수,추정,LG,2019,2019,1
76325,강정호,ㄱㅈㅎ,hitter,야수,추정,넥센,2013,2014,2
53460,강준서,ㄱㅈㅅ,hitter,외야수,네이버,삼성,2023,2023,1
79130,강지광,ㄱㅈㄱ,hitter,야수,추정,SK,2014,2018,5
62925,강진성,ㄱㅈㅅ,hitter,야수,추정,키움,2013,2025,10
50905,강태경,ㄱㅌㄱ,pitcher,투수,추정,NC,2021,2021,1
65514,강태율,ㄱㅌㅇ,hitter,야수,추정,롯데,2016,2024,6
64610,강한울,ㄱㅎㅇ,hitter,야수,추정,삼성,2014,2024,10
51269,강현구,ㄱㅎㄱ,hitter,야수,추정,두산,2022,2025,2
50066,강현우,ㄱㅎㅇ,hitter,포수,네이버,KT,2020,2026,5
51143,강효종,ㄱㅎㅈ,pitcher,투수,추정,LG,2022,2024,3
63563,고도현,ㄱㄷㅎ,hitter,야수,추정,롯데,2013,2014,2
74745,고동진,ㄱㄷㅈ,hitter,야수,추정,한화,2013,2015,3
66805,고메즈,ㄱㅁㅈ,hitter,야수,추정,SK,2016,2016,1
68069,고명성,ㄱㅁㅅ,hitter,야수,추정,KT,2018,2022,4
51868,고명준,ㄱㅁㅈ,hitter,내야수,네이버,SSG,2021,2026,5
66201,고봉재,ㄱㅂㅈ,pitcher,투수,추정,두산,2016,2023,4
69517,고승민,ㄱㅅㅁ,hitter,내야수,네이버,롯데,2019,2026,6
54908,고승완,ㄱㅅㅇ,hitter,외야수,네이버,NC,2025,2025,1
72214,고영민,ㄱㅇㅁ,hitter,"작전,주루코치",네이버,두산,2013,2016,4
54344,고영우,ㄱㅇㅇ,hitter,내야수,네이버,키움,2024,2025,2
63628,고영창,ㄱㅇㅊ,pitcher,투수,추정,KIA,2018,2022,5
64001,고영표,ㄱㅇㅍ,pitcher,투수,추정,KT,2015,2026,10
67119,고우석,ㄱㅇㅅ,pitcher,투수,추정,LG,2017,2023,7
