player_name,player_id,birth_year,source,confidence,matched_title
김형준,68912,,,위키데이터 없음,
전병우,65586,,,위키데이터 없음,
이형종,78135,,,위키데이터 없음,
박상원,67703,,,위키데이터 없음,
한승혁,61666,,,후보 2명 — 구분 불가,
김영규,68900,,,위키데이터 없음,
김민수,64793,,,후보 3명 — 구분 불가,
오스틴,53123,,,위키데이터 없음,
디아즈,54400,,,위키데이터 없음,
레이예스,54529,,,위키데이터 없음,
페라자,54730,,,위키데이터 없음,
신민재,65207,,,위키데이터 없음,
힐리어드,56034,,,위키데이터 없음,
박지훈,50204,,,후보 2명 — 구분 불가,
데이비슨,54944,,,위키데이터 없음,
에레디아,53827,,,위키데이터 없음,
카메론,56251,,,위키데이터 없음,
박준순,55252,,,위키데이터 없음,
이정훈,67644,,,후보 2명 — 구분 불가,
안상현,66864,,,위키데이터 없음,
장승현,63202,,,위키데이터 없음,
카스트로,56626,,,위키데이터 없음,
이강민,56006,,,위키데이터 없음,
스기모토,56011,,,위키데이터 없음,
김민규,56637,,,후보 2명 — 구분 불가,
김진호,67954,,,위키데이터 없음,
이민우,65616,,,위키데이터 없음,
유토,56348,,,위키데이터 없음,
히우라,56305,,,위키데이터 없음,
이호준,54598,,,데뷔나이 불일치,
김상준,55425,,,위키데이터 없음,
김인태,63257,,,위키데이터 없음,
박정민,56536,,,위키데이터 없음,
브룩스,56322,,,위키데이터 없음,
박정훈,55394,,,위키데이터 없음,
김동혁,52504,,,후보 2명 — 구분 불가,
박상준,52634,,,위키데이터 없음,
미야지,56415,,,위키데이터 없음,
심재훈,55438,,,위키데이터 없음,
데일,56632,,,위키데이터 없음,
김종수,63765,,,위키데이터 없음,
아데를린,56613,,,위키데이터 없음,
김태훈,62360,,,후보 3명 — 구분 불가,
박지성,56337,,,위키데이터 없음,
김기연,66112,,,위키데이터 없음,
양재훈,55215,,,위키데이터 없음,
오영수,68904,,,위키데이터 없음,
고준휘,56949,,,위키데이터 없음,
이상동,69054,,,위키데이터 없음,
최재영,56338,,,위키데이터 없음,
장찬희,56460,,,위키데이터 없음,
블레인,56950,,,위키데이터 없음,
네일,54640,,,위키데이터 없음,
장유호,69645,,,위키데이터 없음,
정다훈,56345,,,위키데이터 없음,
로드리게스,56531,,,위키데이터 없음,
잭로그,55239,,,위키데이터 없음,
톨허스트,55130,,,위키데이터 없음,
비슬리,56523,,,위키데이터 없음,
올러,55633,,,위키데이터 없음,
최민석,55268,,,위키데이터 없음,
테일러,56966,,,위키데이터 없음,
토다,56911,,,위키데이터 없음,
류현진,76715,,,데뷔나이 불일치,
박세웅,64021,,,후보 2명 — 구분 불가,
알칸타라,69045,,,위키데이터 없음,
웰스,55348,,,위키데이터 없음,
타케다,56823,,,위키데이터 없음,
한승연,52628,,,위키데이터 없음,
김대한,69238,,,위키데이터 없음,
박채울,54303,,,위키데이터 없음,
벤자민,52043,,,위키데이터 없음,
사우어,56032,,,위키데이터 없음,
김민준,53893,,,위키데이터 없음,
김지석,56326,,,위키데이터 없음,
오러클린,56464,,,위키데이터 없음,
타무라,56218,,,위키데이터 없음,
후라도,53375,,,위키데이터 없음,
마드리스,56813,,,위키데이터 없음,
베니지아노,56841,,,위키데이터 없음,
에르난데스,56712,,,위키데이터 없음,
원종해,54906,,,위키데이터 없음,
이이무라,56503,,,위키데이터 없음,
쿠싱,56760,,,위키데이터 없음,
허윤,56904,,,위키데이터 없음,
화이트,56724,,,위키데이터 없음,
세베리노,56236,,,위키데이터 없음,
최이준,68036,,,위키데이터 없음,
라일리,55903,,,위키데이터 없음,
리오스,56146,,,위키데이터 없음,
박한결,56304,,,후보 2명 — 구분 불가,
오석주,67116,,,위키데이터 없음,
박준우,54503,,,위키데이터 없음,
송지후,54394,,,위키데이터 없음,
윤태호,52202,,,위키데이터 없음,
타카다,56212,,,위키데이터 없음,
박찬형,55530,,,위키데이터 없음,
유민,52765,,,위키데이터 없음,
이승현,51454,,,후보 2명 — 구분 불가,
임종성,54236,,,위키데이터 없음,
김준원,54910,,,위키데이터 없음,
보쉴리,56036,,,위키데이터 없음,
함수호,55440,,,위키데이터 없음,
