priority,player_name,player_id,player_type,position,team_latest,latest_year,games_2026,birth_year
1,최지훈,50854,hitter,외야수,SSG,2026,106,
1,김호령,65653,hitter,외야수,KIA,2026,103,
1,김주원,51907,hitter,내야수,NC,2026,99,
1,홍창기,66108,hitter,외야수,LG,2026,97,
1,김형준,68912,hitter,포수,NC,2026,89,
1,전병우,65586,hitter,내야수,삼성,2026,89,
1,구자욱,62404,hitter,외야수,삼성,2026,86,
1,박승욱,62802,hitter,내야수,롯데,2026,79,
1,김민혁,64004,hitter,외야수,KT,2026,77,
1,배정대,64166,hitter,외야수,KT,2026,75,
1,오윤석,64504,hitter,내야수,KT,2026,75,
1,권희동,63963,hitter,외야수,NC,2026,61,
1,이형종,78135,hitter,외야수,키움,2026,50,
1,한유섬,62895,hitter,외야수,SSG,2026,49,
1,박상원,67703,pitcher,투수,한화,2026,47,
1,문승원,62869,pitcher,투수,SSG,2026,45,
1,박치국,67266,pitcher,투수,두산,2026,39,
1,한승혁,61666,pitcher,투수,KT,2026,35,
1,김민수,65048,pitcher,투수,KT,2026,33,
1,류진욱,65949,pitcher,투수,NC,2026,31,
1,김영규,68900,pitcher,투수,NC,2026,28,
1,나균안,67539,pitcher,투수,롯데,2026,19,
1,원태인,69446,pitcher,투수,삼성,2026,18,
1,안우진,68341,pitcher,투수,키움,2026,17,
1,서진용,61895,pitcher,투수,SSG,2026,12,
1,신민혁,68902,pitcher,투수,NC,2026,8,
1,김민수,64793,hitter,포수,LG,2026,2,
1,이창진,64560,hitter,외야수,KIA,2026,1,
1,김민혁,65269,hitter,내야수,두산,2025,0,
1,김재열,64580,pitcher,투수,NC,2025,0,
1,문상철,64007,hitter,내야수,KT,2025,0,
1,박종훈,60841,pitcher,투수,SSG,2025,0,
1,최동환,79140,pitcher,투수,KT,2025,0,
2,박성한,67893,hitter,내야수,SSG,2026,108,
2,오스틴,53123,hitter,내야수,LG,2026,106,
2,김도영,52605,hitter,내야수,KIA,2026,105,
2,디아즈,54400,hitter,내야수,삼성,2026,105,
2,레이예스,54529,hitter,외야수,롯데,2026,105,
2,정준재,54812,hitter,내야수,SSG,2026,105,
2,페라자,54730,hitter,외야수,한화,2026,104,
2,김지찬,50458,hitter,내야수,삼성,2026,102,
2,문현빈,53764,hitter,내야수,한화,2026,102,
2,신민재,65207,hitter,내야수,LG,2026,102,
2,전민재,68205,hitter,내야수,롯데,2026,102,
2,힐리어드,56034,hitter,내야수,KT,2026,102,
2,구본혁,69100,hitter,내야수,LG,2026,101,
2,김건희,53312,hitter,포수,키움,2026,101,
2,박재현,55636,hitter,외야수,KIA,2026,100,
2,손성빈,51528,hitter,포수,롯데,2026,99,
2,김민석,53554,hitter,외야수,두산,2026,98,
2,노시환,69737,hitter,내야수,한화,2026,97,
2,이도윤,65703,hitter,내야수,한화,2026,93,
2,이우성,63260,hitter,외야수,NC,2026,93,
2,허인서,52764,hitter,포수,한화,2026,93,
